,Unnamed: 0,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,1,2021-07-26,AP,state,120803,Amapá,187,1.20803,154.8
1,1678180,2021-07-26,PB,state,418590,Paraíba,244,4.1859,58.3
2,1770828,2021-07-26,PR,state,1366309,Paraná,889,13.66309,65.1
3,1580616,2021-07-26,PI,state,307881,Piauí,19,3.07881,6.2
4,1384085,2021-07-26,RS,state,1353052,Rio Grande do Sul,1435,13.53052,106.1
5,1944656,2021-07-26,PE,state,586023,Pernambuco,513,5.86023,87.5
6,414120,2021-07-26,MT,state,483834,Mato Grosso,45,4.83834,9.3
7,348856,2021-07-26,PA,state,570021,Pará,392,5.70021,68.8
8,47317,2021-07-26,DF,state,446772,Distrito Federal,29,4.46772,6.5
9,48816,2021-07-26,AL,state,228442,Alagoas,316,2.28442,138.3
10,173862,2021-07-26,ES,state,540031,Espírito Santo,237,5.40031,43.9
11,92362,2021-07-26,CE,state,914992,Ceará,221,9.14992,24.2
12,18142,2021-07-26,AM,state,414344,Amazonas,1642,4.14344,396.3
13,7735,2021-07-26,AC,state,86987,Acre,133,0.86987,152.9
14,243801,2021-07-26,GO,state,728153,Goiás,1109,7.28153,152.3
15,209636,2021-07-26,MS,state,353161,Mato Grosso do Sul,141,3.53161,39.9
16,1254274,2021-07-26,SC,state,1104454,Santa Catarina,602,11.04454,54.5
17,1196555,2021-07-26,TO,state,208398,Tocantins,113,2.08398,54.2
18,1014629,2021-07-26,BA,state,1186213,Bahia,461,11.86213,38.9
19,980918,2021-07-26,SE,state,273330,Sergipe,327,2.7333,119.6
20,884040,2021-07-26,MA,state,333606,Maranhão,310,3.33606,92.9
21,828239,2021-07-26,RN,state,358044,Rio Grande do Norte,195,3.58044,54.5
22,805785,2021-07-26,RO,state,256357,Rondônia,34,2.56357,13.3
23,754019,2021-07-26,RJ,state,1014915,Rio de Janeiro,4154,10.14915,409.3
24,797945,2021-07-26,RR,state,118968,Roraima,39,1.18968,32.8
25,461299,2021-07-26,MG,state,1937490,Minas Gerais,529,19.3749,27.3
26,2028199,2021-07-26,SP,state,4003549,São Paulo,9895,40.03549,247.2
