,Date,Período,Linhagem,Frequência
0,2020-02,Fev 2020,B.1,3
1,2020-02,Fev 2020,B.1.1,3
2,2020-02,Fev 2020,Outras,2
3,2020-03,Mar 2020,B.1,103
4,2020-03,Mar 2020,B.1.1,64
5,2020-03,Mar 2020,B.1.1.28,163
6,2020-03,Mar 2020,B.1.1.33,132
7,2020-03,Mar 2020,Outras,70
8,2020-03,Mar 2020,P.2,1
9,2020-04,Abr 2020,B.1,51
10,2020-04,Abr 2020,B.1.1,106
11,2020-04,Abr 2020,B.1.1.28,387
12,2020-04,Abr 2020,B.1.1.33,458
13,2020-04,Abr 2020,Outras,66
14,2020-05,Mai 2020,B.1,10
15,2020-05,Mai 2020,B.1.1,45
16,2020-05,Mai 2020,B.1.1.28,115
17,2020-05,Mai 2020,B.1.1.33,176
18,2020-05,Mai 2020,Outras,34
19,2020-06,Jun 2020,B.1,2
20,2020-06,Jun 2020,B.1.1,45
21,2020-06,Jun 2020,B.1.1.28,118
22,2020-06,Jun 2020,B.1.1.33,210
23,2020-06,Jun 2020,Outras,26
24,2020-07,Jul 2020,B.1,3
25,2020-07,Jul 2020,B.1.1,52
26,2020-07,Jul 2020,B.1.1.28,123
27,2020-07,Jul 2020,B.1.1.33,182
28,2020-07,Jul 2020,Outras,29
29,2020-08,Ago 2020,B.1,4
30,2020-08,Ago 2020,B.1.1,40
31,2020-08,Ago 2020,B.1.1.28,116
32,2020-08,Ago 2020,B.1.1.33,151
33,2020-08,Ago 2020,Outras,25
34,2020-09,Set 2020,B.1,6
35,2020-09,Set 2020,B.1.1,35
36,2020-09,Set 2020,B.1.1.28,87
37,2020-09,Set 2020,B.1.1.33,134
38,2020-09,Set 2020,Outras,20
39,2020-09,Set 2020,P.2,4
40,2020-10,Out 2020,B.1,1
41,2020-10,Out 2020,B.1.1,26
42,2020-10,Out 2020,B.1.1.28,145
43,2020-10,Out 2020,B.1.1.33,126
44,2020-10,Out 2020,Outras,18
45,2020-10,Out 2020,P.2,78
46,2020-11,Nov 2020,B.1,11
47,2020-11,Nov 2020,B.1.1,33
48,2020-11,Nov 2020,B.1.1.28,204
49,2020-11,Nov 2020,B.1.1.33,90
50,2020-11,Nov 2020,Outras,66
51,2020-11,Nov 2020,P.1 (Gama),1
52,2020-11,Nov 2020,P.2,198
53,2020-12,Dez 2020,B.1,12
54,2020-12,Dez 2020,B.1.1,33
55,2020-12,Dez 2020,B.1.1.28,215
56,2020-12,Dez 2020,B.1.1.33,67
57,2020-12,Dez 2020,B.1.1.7 (Alfa),2
58,2020-12,Dez 2020,Outras,103
59,2020-12,Dez 2020,P.1 (Gama),115
60,2020-12,Dez 2020,P.2,432
61,2021-01,Jan 2021,B.1,4
62,2021-01,Jan 2021,B.1.1,20
63,2021-01,Jan 2021,B.1.1.28,202
64,2021-01,Jan 2021,B.1.1.33,64
65,2021-01,Jan 2021,B.1.1.7 (Alfa),57
66,2021-01,Jan 2021,Outras,158
67,2021-01,Jan 2021,P.1 (Gama),412
68,2021-01,Jan 2021,P.1.2 (Gama),2
69,2021-01,Jan 2021,P.2,846
70,2021-02,Fev 2021,B.1,2
71,2021-02,Fev 2021,B.1.1,20
72,2021-02,Fev 2021,B.1.1.28,181
73,2021-02,Fev 2021,B.1.1.33,14
74,2021-02,Fev 2021,B.1.1.7 (Alfa),52
75,2021-02,Fev 2021,Outras,139
76,2021-02,Fev 2021,P.1 (Gama),1227
77,2021-02,Fev 2021,P.1.2 (Gama),53
78,2021-02,Fev 2021,P.2,621
79,2021-03,Mar 2021,B.1,1
80,2021-03,Mar 2021,B.1.1,10
81,2021-03,Mar 2021,B.1.1.28,177
82,2021-03,Mar 2021,B.1.1.33,3
83,2021-03,Mar 2021,B.1.1.7 (Alfa),144
84,2021-03,Mar 2021,Outras,75
85,2021-03,Mar 2021,P.1 (Gama),3024
86,2021-03,Mar 2021,P.1.2 (Gama),24
87,2021-03,Mar 2021,P.2,165
88,2021-03,Mar 2021,P.4,3
89,2021-04,Abr 2021,B.1,2
90,2021-04,Abr 2021,B.1.1,10
91,2021-04,Abr 2021,B.1.1.28,112
92,2021-04,Abr 2021,B.1.1.7 (Alfa),133
93,2021-04,Abr 2021,Outras,38
94,2021-04,Abr 2021,P.1 (Gama),3992
95,2021-04,Abr 2021,P.1.2 (Gama),58
96,2021-04,Abr 2021,P.2,37
97,2021-04,Abr 2021,P.4,42
98,2021-05,Mai 2021,B.1,3
99,2021-05,Mai 2021,B.1.1,1
100,2021-05,Mai 2021,B.1.1.28,45
101,2021-05,Mai 2021,B.1.1.7 (Alfa),108
102,2021-05,Mai 2021,Outras,73
103,2021-05,Mai 2021,P.1 (Gama),3712
104,2021-05,Mai 2021,P.1.2 (Gama),148
105,2021-05,Mai 2021,P.2,3
106,2021-05,Mai 2021,P.4,721
107,2021-06,Jun 2021,B.1.1.7 (Alfa),6
108,2021-06,Jun 2021,Outras,94
109,2021-06,Jun 2021,P.1 (Gama),1553
110,2021-06,Jun 2021,P.1.2 (Gama),65
111,2021-06,Jun 2021,P.4,4
112,2021-07,Jul 2021,B.1.1.28,1
113,2021-07,Jul 2021,Outras,19
114,2021-07,Jul 2021,P.1 (Gama),168
