,Date,Período,Região,Linhagem,Frequência
0,2020-02,Fev 2020,Nordeste,B.1.1,1
1,2020-02,Fev 2020,Sudeste,B.1,3
2,2020-02,Fev 2020,Sudeste,Outras,2
3,2020-02,Fev 2020,Sul,B.1.1,2
4,2020-03,Mar 2020,Centro-oeste,B.1,1
5,2020-03,Mar 2020,Centro-oeste,B.1.1,2
6,2020-03,Mar 2020,Centro-oeste,B.1.1.28,1
7,2020-03,Mar 2020,Centro-oeste,B.1.1.33,6
8,2020-03,Mar 2020,Centro-oeste,Outras,6
9,2020-03,Mar 2020,Nordeste,B.1,26
10,2020-03,Mar 2020,Nordeste,B.1.1,5
11,2020-03,Mar 2020,Nordeste,B.1.1.28,6
12,2020-03,Mar 2020,Nordeste,B.1.1.33,16
13,2020-03,Mar 2020,Nordeste,Outras,13
14,2020-03,Mar 2020,Norte,B.1,1
15,2020-03,Mar 2020,Norte,B.1.1,1
16,2020-03,Mar 2020,Norte,B.1.1.28,2
17,2020-03,Mar 2020,Norte,B.1.1.33,6
18,2020-03,Mar 2020,Norte,Outras,9
19,2020-03,Mar 2020,Sudeste,B.1,60
20,2020-03,Mar 2020,Sudeste,B.1.1,49
21,2020-03,Mar 2020,Sudeste,B.1.1.28,135
22,2020-03,Mar 2020,Sudeste,B.1.1.33,79
23,2020-03,Mar 2020,Sudeste,Outras,31
24,2020-03,Mar 2020,Sul,B.1,15
25,2020-03,Mar 2020,Sul,B.1.1,7
26,2020-03,Mar 2020,Sul,B.1.1.28,18
27,2020-03,Mar 2020,Sul,B.1.1.33,24
28,2020-03,Mar 2020,Sul,Outras,11
29,2020-03,Mar 2020,Sul,P.2,1
30,2020-04,Abr 2020,Centro-oeste,B.1,4
31,2020-04,Abr 2020,Centro-oeste,B.1.1.28,2
32,2020-04,Abr 2020,Centro-oeste,B.1.1.33,11
33,2020-04,Abr 2020,Centro-oeste,Outras,1
34,2020-04,Abr 2020,Nordeste,B.1,18
35,2020-04,Abr 2020,Nordeste,B.1.1,82
36,2020-04,Abr 2020,Nordeste,B.1.1.28,11
37,2020-04,Abr 2020,Nordeste,B.1.1.33,65
38,2020-04,Abr 2020,Nordeste,Outras,15
39,2020-04,Abr 2020,Norte,B.1,1
40,2020-04,Abr 2020,Norte,B.1.1.28,31
41,2020-04,Abr 2020,Norte,B.1.1.33,20
42,2020-04,Abr 2020,Norte,Outras,35
43,2020-04,Abr 2020,Sudeste,B.1,27
44,2020-04,Abr 2020,Sudeste,B.1.1,23
45,2020-04,Abr 2020,Sudeste,B.1.1.28,331
46,2020-04,Abr 2020,Sudeste,B.1.1.33,334
47,2020-04,Abr 2020,Sudeste,Outras,11
48,2020-04,Abr 2020,Sul,B.1,1
49,2020-04,Abr 2020,Sul,B.1.1,1
50,2020-04,Abr 2020,Sul,B.1.1.28,12
51,2020-04,Abr 2020,Sul,B.1.1.33,28
52,2020-04,Abr 2020,Sul,Outras,4
53,2020-05,Mai 2020,Centro-oeste,B.1.1.28,3
54,2020-05,Mai 2020,Centro-oeste,B.1.1.33,4
55,2020-05,Mai 2020,Nordeste,B.1,3
56,2020-05,Mai 2020,Nordeste,B.1.1,35
57,2020-05,Mai 2020,Nordeste,B.1.1.28,12
58,2020-05,Mai 2020,Nordeste,B.1.1.33,20
59,2020-05,Mai 2020,Nordeste,Outras,7
60,2020-05,Mai 2020,Norte,B.1.1,1
61,2020-05,Mai 2020,Norte,B.1.1.28,14
62,2020-05,Mai 2020,Norte,B.1.1.33,22
63,2020-05,Mai 2020,Norte,Outras,16
64,2020-05,Mai 2020,Sudeste,B.1,6
65,2020-05,Mai 2020,Sudeste,B.1.1,3
66,2020-05,Mai 2020,Sudeste,B.1.1.28,80
67,2020-05,Mai 2020,Sudeste,B.1.1.33,66
68,2020-05,Mai 2020,Sudeste,Outras,3
69,2020-05,Mai 2020,Sul,B.1,1
70,2020-05,Mai 2020,Sul,B.1.1,6
71,2020-05,Mai 2020,Sul,B.1.1.28,6
72,2020-05,Mai 2020,Sul,B.1.1.33,64
73,2020-05,Mai 2020,Sul,Outras,8
74,2020-06,Jun 2020,Centro-oeste,B.1.1.28,3
75,2020-06,Jun 2020,Centro-oeste,B.1.1.33,12
76,2020-06,Jun 2020,Nordeste,B.1,2
77,2020-06,Jun 2020,Nordeste,B.1.1,41
78,2020-06,Jun 2020,Nordeste,B.1.1.28,12
79,2020-06,Jun 2020,Nordeste,B.1.1.33,14
80,2020-06,Jun 2020,Nordeste,Outras,2
81,2020-06,Jun 2020,Norte,B.1.1.28,13
82,2020-06,Jun 2020,Norte,B.1.1.33,10
83,2020-06,Jun 2020,Norte,Outras,5
84,2020-06,Jun 2020,Sudeste,B.1.1,3
85,2020-06,Jun 2020,Sudeste,B.1.1.28,50
86,2020-06,Jun 2020,Sudeste,B.1.1.33,52
87,2020-06,Jun 2020,Sudeste,Outras,5
88,2020-06,Jun 2020,Sul,B.1.1,1
89,2020-06,Jun 2020,Sul,B.1.1.28,40
90,2020-06,Jun 2020,Sul,B.1.1.33,122
91,2020-06,Jun 2020,Sul,Outras,14
92,2020-07,Jul 2020,Centro-oeste,B.1.1.28,5
93,2020-07,Jul 2020,Centro-oeste,B.1.1.33,7
94,2020-07,Jul 2020,Centro-oeste,Outras,3
95,2020-07,Jul 2020,Nordeste,B.1,1
96,2020-07,Jul 2020,Nordeste,B.1.1,36
97,2020-07,Jul 2020,Nordeste,B.1.1.28,13
98,2020-07,Jul 2020,Nordeste,B.1.1.33,14
99,2020-07,Jul 2020,Nordeste,Outras,3
100,2020-07,Jul 2020,Norte,B.1.1,1
101,2020-07,Jul 2020,Norte,B.1.1.28,9
102,2020-07,Jul 2020,Norte,B.1.1.33,8
103,2020-07,Jul 2020,Norte,Outras,5
104,2020-07,Jul 2020,Sudeste,B.1,1
105,2020-07,Jul 2020,Sudeste,B.1.1,10
106,2020-07,Jul 2020,Sudeste,B.1.1.28,58
107,2020-07,Jul 2020,Sudeste,B.1.1.33,83
108,2020-07,Jul 2020,Sudeste,Outras,6
109,2020-07,Jul 2020,Sul,B.1,1
110,2020-07,Jul 2020,Sul,B.1.1,5
111,2020-07,Jul 2020,Sul,B.1.1.28,38
112,2020-07,Jul 2020,Sul,B.1.1.33,70
113,2020-07,Jul 2020,Sul,Outras,12
114,2020-08,Ago 2020,Centro-oeste,B.1.1.28,3
115,2020-08,Ago 2020,Centro-oeste,B.1.1.33,17
116,2020-08,Ago 2020,Nordeste,B.1,1
117,2020-08,Ago 2020,Nordeste,B.1.1,23
118,2020-08,Ago 2020,Nordeste,B.1.1.28,20
119,2020-08,Ago 2020,Nordeste,B.1.1.33,12
120,2020-08,Ago 2020,Nordeste,Outras,10
121,2020-08,Ago 2020,Norte,B.1.1,2
122,2020-08,Ago 2020,Norte,B.1.1.28,4
123,2020-08,Ago 2020,Norte,B.1.1.33,12
124,2020-08,Ago 2020,Norte,Outras,2
125,2020-08,Ago 2020,Sudeste,B.1.1,6
126,2020-08,Ago 2020,Sudeste,B.1.1.28,41
127,2020-08,Ago 2020,Sudeste,B.1.1.33,43
128,2020-08,Ago 2020,Sudeste,Outras,3
129,2020-08,Ago 2020,Sul,B.1,3
130,2020-08,Ago 2020,Sul,B.1.1,9
131,2020-08,Ago 2020,Sul,B.1.1.28,48
132,2020-08,Ago 2020,Sul,B.1.1.33,67
133,2020-08,Ago 2020,Sul,Outras,6
134,2020-09,Set 2020,Centro-oeste,B.1.1,2
135,2020-09,Set 2020,Centro-oeste,B.1.1.28,5
136,2020-09,Set 2020,Centro-oeste,B.1.1.33,11
137,2020-09,Set 2020,Centro-oeste,P.2,2
138,2020-09,Set 2020,Nordeste,B.1,1
139,2020-09,Set 2020,Nordeste,B.1.1,26
140,2020-09,Set 2020,Nordeste,B.1.1.28,15
141,2020-09,Set 2020,Nordeste,B.1.1.33,18
142,2020-09,Set 2020,Nordeste,Outras,9
143,2020-09,Set 2020,Norte,B.1.1,3
144,2020-09,Set 2020,Norte,B.1.1.28,13
145,2020-09,Set 2020,Norte,B.1.1.33,7
146,2020-09,Set 2020,Norte,Outras,4
147,2020-09,Set 2020,Sudeste,B.1,1
148,2020-09,Set 2020,Sudeste,B.1.1,2
149,2020-09,Set 2020,Sudeste,B.1.1.28,28
150,2020-09,Set 2020,Sudeste,B.1.1.33,58
151,2020-09,Set 2020,Sudeste,Outras,6
152,2020-09,Set 2020,Sudeste,P.2,1
153,2020-09,Set 2020,Sul,B.1,4
154,2020-09,Set 2020,Sul,B.1.1,2
155,2020-09,Set 2020,Sul,B.1.1.28,26
156,2020-09,Set 2020,Sul,B.1.1.33,40
157,2020-09,Set 2020,Sul,Outras,1
158,2020-09,Set 2020,Sul,P.2,1
159,2020-10,Out 2020,Centro-oeste,B.1.1.28,12
160,2020-10,Out 2020,Centro-oeste,B.1.1.33,2
161,2020-10,Out 2020,Centro-oeste,P.2,5
162,2020-10,Out 2020,Nordeste,B.1.1,21
163,2020-10,Out 2020,Nordeste,B.1.1.28,23
164,2020-10,Out 2020,Nordeste,B.1.1.33,31
165,2020-10,Out 2020,Nordeste,Outras,8
166,2020-10,Out 2020,Nordeste,P.2,15
167,2020-10,Out 2020,Norte,B.1.1,3
168,2020-10,Out 2020,Norte,B.1.1.28,14
169,2020-10,Out 2020,Norte,B.1.1.33,4
170,2020-10,Out 2020,Norte,Outras,4
171,2020-10,Out 2020,Norte,P.2,7
172,2020-10,Out 2020,Sudeste,B.1,1
173,2020-10,Out 2020,Sudeste,B.1.1,2
174,2020-10,Out 2020,Sudeste,B.1.1.28,48
175,2020-10,Out 2020,Sudeste,B.1.1.33,59
176,2020-10,Out 2020,Sudeste,Outras,2
177,2020-10,Out 2020,Sudeste,P.2,34
178,2020-10,Out 2020,Sul,B.1.1.28,48
179,2020-10,Out 2020,Sul,B.1.1.33,30
180,2020-10,Out 2020,Sul,Outras,4
181,2020-10,Out 2020,Sul,P.2,17
182,2020-11,Nov 2020,Centro-oeste,B.1,1
183,2020-11,Nov 2020,Centro-oeste,B.1.1.28,1
184,2020-11,Nov 2020,Centro-oeste,Outras,2
185,2020-11,Nov 2020,Centro-oeste,P.2,3
186,2020-11,Nov 2020,Nordeste,B.1,2
187,2020-11,Nov 2020,Nordeste,B.1.1,16
188,2020-11,Nov 2020,Nordeste,B.1.1.28,16
189,2020-11,Nov 2020,Nordeste,B.1.1.33,21
190,2020-11,Nov 2020,Nordeste,Outras,15
191,2020-11,Nov 2020,Nordeste,P.1 (Gama),1
192,2020-11,Nov 2020,Nordeste,P.2,14
193,2020-11,Nov 2020,Norte,B.1,4
194,2020-11,Nov 2020,Norte,B.1.1,8
195,2020-11,Nov 2020,Norte,B.1.1.28,20
196,2020-11,Nov 2020,Norte,B.1.1.33,3
197,2020-11,Nov 2020,Norte,Outras,19
198,2020-11,Nov 2020,Norte,P.2,17
199,2020-11,Nov 2020,Sudeste,B.1,2
200,2020-11,Nov 2020,Sudeste,B.1.1,6
201,2020-11,Nov 2020,Sudeste,B.1.1.28,64
202,2020-11,Nov 2020,Sudeste,B.1.1.33,43
203,2020-11,Nov 2020,Sudeste,Outras,20
204,2020-11,Nov 2020,Sudeste,P.2,76
205,2020-11,Nov 2020,Sul,B.1,2
206,2020-11,Nov 2020,Sul,B.1.1,3
207,2020-11,Nov 2020,Sul,B.1.1.28,103
208,2020-11,Nov 2020,Sul,B.1.1.33,23
209,2020-11,Nov 2020,Sul,Outras,10
210,2020-11,Nov 2020,Sul,P.2,88
211,2020-12,Dez 2020,Centro-oeste,B.1.1,2
212,2020-12,Dez 2020,Centro-oeste,B.1.1.28,18
213,2020-12,Dez 2020,Centro-oeste,B.1.1.33,10
214,2020-12,Dez 2020,Centro-oeste,B.1.1.7 (Alfa),2
215,2020-12,Dez 2020,Centro-oeste,Outras,5
216,2020-12,Dez 2020,Centro-oeste,P.2,35
217,2020-12,Dez 2020,Nordeste,B.1,2
218,2020-12,Dez 2020,Nordeste,B.1.1,15
219,2020-12,Dez 2020,Nordeste,B.1.1.28,29
220,2020-12,Dez 2020,Nordeste,B.1.1.33,15
221,2020-12,Dez 2020,Nordeste,Outras,32
222,2020-12,Dez 2020,Nordeste,P.1 (Gama),6
223,2020-12,Dez 2020,Nordeste,P.2,82
224,2020-12,Dez 2020,Norte,B.1,5
225,2020-12,Dez 2020,Norte,B.1.1,14
226,2020-12,Dez 2020,Norte,B.1.1.28,58
227,2020-12,Dez 2020,Norte,B.1.1.33,9
228,2020-12,Dez 2020,Norte,Outras,44
229,2020-12,Dez 2020,Norte,P.1 (Gama),107
230,2020-12,Dez 2020,Norte,P.2,52
231,2020-12,Dez 2020,Sudeste,B.1,5
232,2020-12,Dez 2020,Sudeste,B.1.1,1
233,2020-12,Dez 2020,Sudeste,B.1.1.28,58
234,2020-12,Dez 2020,Sudeste,B.1.1.33,24
235,2020-12,Dez 2020,Sudeste,Outras,19
236,2020-12,Dez 2020,Sudeste,P.1 (Gama),1
237,2020-12,Dez 2020,Sudeste,P.2,165
238,2020-12,Dez 2020,Sul,B.1.1,1
239,2020-12,Dez 2020,Sul,B.1.1.28,52
240,2020-12,Dez 2020,Sul,B.1.1.33,9
241,2020-12,Dez 2020,Sul,Outras,3
242,2020-12,Dez 2020,Sul,P.1 (Gama),1
243,2020-12,Dez 2020,Sul,P.2,98
244,2021-01,Jan 2021,Centro-oeste,B.1.1.28,18
245,2021-01,Jan 2021,Centro-oeste,B.1.1.33,4
246,2021-01,Jan 2021,Centro-oeste,B.1.1.7 (Alfa),8
247,2021-01,Jan 2021,Centro-oeste,Outras,7
248,2021-01,Jan 2021,Centro-oeste,P.1 (Gama),41
249,2021-01,Jan 2021,Centro-oeste,P.2,83
250,2021-01,Jan 2021,Nordeste,B.1.1,14
251,2021-01,Jan 2021,Nordeste,B.1.1.28,26
252,2021-01,Jan 2021,Nordeste,B.1.1.33,17
253,2021-01,Jan 2021,Nordeste,B.1.1.7 (Alfa),5
254,2021-01,Jan 2021,Nordeste,Outras,44
255,2021-01,Jan 2021,Nordeste,P.1 (Gama),68
256,2021-01,Jan 2021,Nordeste,P.2,195
257,2021-01,Jan 2021,Norte,B.1,3
258,2021-01,Jan 2021,Norte,B.1.1,2
259,2021-01,Jan 2021,Norte,B.1.1.28,31
260,2021-01,Jan 2021,Norte,B.1.1.33,12
261,2021-01,Jan 2021,Norte,Outras,11
262,2021-01,Jan 2021,Norte,P.1 (Gama),222
263,2021-01,Jan 2021,Norte,P.2,101
264,2021-01,Jan 2021,Sudeste,B.1.1,4
265,2021-01,Jan 2021,Sudeste,B.1.1.28,90
266,2021-01,Jan 2021,Sudeste,B.1.1.33,25
267,2021-01,Jan 2021,Sudeste,B.1.1.7 (Alfa),40
268,2021-01,Jan 2021,Sudeste,Outras,88
269,2021-01,Jan 2021,Sudeste,P.1 (Gama),55
270,2021-01,Jan 2021,Sudeste,P.2,340
271,2021-01,Jan 2021,Sul,B.1,1
272,2021-01,Jan 2021,Sul,B.1.1.28,37
273,2021-01,Jan 2021,Sul,B.1.1.33,6
274,2021-01,Jan 2021,Sul,B.1.1.7 (Alfa),4
275,2021-01,Jan 2021,Sul,Outras,8
276,2021-01,Jan 2021,Sul,P.1 (Gama),26
277,2021-01,Jan 2021,Sul,P.1.2 (Gama),2
278,2021-01,Jan 2021,Sul,P.2,127
279,2021-02,Fev 2021,Centro-oeste,B.1.1,10
280,2021-02,Fev 2021,Centro-oeste,B.1.1.28,9
281,2021-02,Fev 2021,Centro-oeste,B.1.1.7 (Alfa),12
282,2021-02,Fev 2021,Centro-oeste,Outras,3
283,2021-02,Fev 2021,Centro-oeste,P.1 (Gama),124
284,2021-02,Fev 2021,Centro-oeste,P.2,44
285,2021-02,Fev 2021,Nordeste,B.1.1,9
286,2021-02,Fev 2021,Nordeste,B.1.1.28,25
287,2021-02,Fev 2021,Nordeste,B.1.1.33,9
288,2021-02,Fev 2021,Nordeste,B.1.1.7 (Alfa),6
289,2021-02,Fev 2021,Nordeste,Outras,27
290,2021-02,Fev 2021,Nordeste,P.1 (Gama),296
291,2021-02,Fev 2021,Nordeste,P.1.2 (Gama),33
292,2021-02,Fev 2021,Nordeste,P.2,148
293,2021-02,Fev 2021,Norte,B.1.1.28,10
294,2021-02,Fev 2021,Norte,Outras,7
295,2021-02,Fev 2021,Norte,P.1 (Gama),227
296,2021-02,Fev 2021,Norte,P.1.2 (Gama),4
297,2021-02,Fev 2021,Norte,P.2,36
298,2021-02,Fev 2021,Sudeste,B.1,2
299,2021-02,Fev 2021,Sudeste,B.1.1.28,118
300,2021-02,Fev 2021,Sudeste,B.1.1.33,3
301,2021-02,Fev 2021,Sudeste,B.1.1.7 (Alfa),24
302,2021-02,Fev 2021,Sudeste,Outras,97
303,2021-02,Fev 2021,Sudeste,P.1 (Gama),375
304,2021-02,Fev 2021,Sudeste,P.1.2 (Gama),1
305,2021-02,Fev 2021,Sudeste,P.2,312
306,2021-02,Fev 2021,Sul,B.1.1,1
307,2021-02,Fev 2021,Sul,B.1.1.28,19
308,2021-02,Fev 2021,Sul,B.1.1.33,2
309,2021-02,Fev 2021,Sul,B.1.1.7 (Alfa),10
310,2021-02,Fev 2021,Sul,Outras,5
311,2021-02,Fev 2021,Sul,P.1 (Gama),203
312,2021-02,Fev 2021,Sul,P.1.2 (Gama),15
313,2021-02,Fev 2021,Sul,P.2,76
314,2021-03,Mar 2021,Centro-oeste,B.1.1,2
315,2021-03,Mar 2021,Centro-oeste,B.1.1.28,3
316,2021-03,Mar 2021,Centro-oeste,B.1.1.7 (Alfa),6
317,2021-03,Mar 2021,Centro-oeste,P.1 (Gama),245
318,2021-03,Mar 2021,Centro-oeste,P.2,9
319,2021-03,Mar 2021,Nordeste,B.1.1,4
320,2021-03,Mar 2021,Nordeste,B.1.1.28,3
321,2021-03,Mar 2021,Nordeste,B.1.1.7 (Alfa),2
322,2021-03,Mar 2021,Nordeste,Outras,3
323,2021-03,Mar 2021,Nordeste,P.1 (Gama),213
324,2021-03,Mar 2021,Nordeste,P.1.2 (Gama),1
325,2021-03,Mar 2021,Nordeste,P.2,11
326,2021-03,Mar 2021,Norte,B.1.1.28,1
327,2021-03,Mar 2021,Norte,P.1 (Gama),244
328,2021-03,Mar 2021,Norte,P.1.2 (Gama),10
329,2021-03,Mar 2021,Norte,P.2,2
330,2021-03,Mar 2021,Sudeste,B.1,1
331,2021-03,Mar 2021,Sudeste,B.1.1,2
332,2021-03,Mar 2021,Sudeste,B.1.1.28,159
333,2021-03,Mar 2021,Sudeste,B.1.1.33,1
334,2021-03,Mar 2021,Sudeste,B.1.1.7 (Alfa),135
335,2021-03,Mar 2021,Sudeste,Outras,58
336,2021-03,Mar 2021,Sudeste,P.1 (Gama),2026
337,2021-03,Mar 2021,Sudeste,P.1.2 (Gama),6
338,2021-03,Mar 2021,Sudeste,P.2,114
339,2021-03,Mar 2021,Sul,B.1.1,2
340,2021-03,Mar 2021,Sul,B.1.1.28,11
341,2021-03,Mar 2021,Sul,B.1.1.33,2
342,2021-03,Mar 2021,Sul,B.1.1.7 (Alfa),1
343,2021-03,Mar 2021,Sul,Outras,14
344,2021-03,Mar 2021,Sul,P.1 (Gama),296
345,2021-03,Mar 2021,Sul,P.1.2 (Gama),7
346,2021-03,Mar 2021,Sul,P.2,28
347,2021-03,Mar 2021,Sul,P.4,3
348,2021-04,Abr 2021,Centro-oeste,B.1,1
349,2021-04,Abr 2021,Centro-oeste,B.1.1.28,4
350,2021-04,Abr 2021,Centro-oeste,B.1.1.7 (Alfa),2
351,2021-04,Abr 2021,Centro-oeste,Outras,4
352,2021-04,Abr 2021,Centro-oeste,P.1 (Gama),186
353,2021-04,Abr 2021,Centro-oeste,P.1.2 (Gama),2
354,2021-04,Abr 2021,Centro-oeste,P.2,2
355,2021-04,Abr 2021,Nordeste,P.1 (Gama),157
356,2021-04,Abr 2021,Nordeste,P.2,3
357,2021-04,Abr 2021,Norte,B.1.1.7 (Alfa),1
358,2021-04,Abr 2021,Norte,Outras,6
