,Date,Período,Estado,Linhagem,Frequência
0,2020-02,Fev 2020,Bahia,B.1.1,1
1,2020-02,Fev 2020,Espírito Santo,Outras,1
2,2020-02,Fev 2020,Paraná,B.1.1,2
3,2020-02,Fev 2020,São Paulo,B.1,3
4,2020-02,Fev 2020,São Paulo,Outras,1
5,2020-03,Mar 2020,Acre,B.1.1.33,3
6,2020-03,Mar 2020,Acre,Outras,3
7,2020-03,Mar 2020,Alagoas,B.1.1.28,1
8,2020-03,Mar 2020,Amapá,B.1.1.33,1
9,2020-03,Mar 2020,Amazonas,Outras,4
10,2020-03,Mar 2020,Bahia,B.1,6
11,2020-03,Mar 2020,Bahia,B.1.1,3
12,2020-03,Mar 2020,Bahia,B.1.1.28,4
13,2020-03,Mar 2020,Bahia,B.1.1.33,9
14,2020-03,Mar 2020,Bahia,Outras,3
15,2020-03,Mar 2020,Ceará,B.1,18
16,2020-03,Mar 2020,Ceará,B.1.1.33,1
17,2020-03,Mar 2020,Ceará,Outras,8
18,2020-03,Mar 2020,Distrito Federal,B.1.1,1
19,2020-03,Mar 2020,Distrito Federal,B.1.1.33,3
20,2020-03,Mar 2020,Distrito Federal,Outras,1
21,2020-03,Mar 2020,Goiás,B.1,1
22,2020-03,Mar 2020,Goiás,Outras,2
23,2020-03,Mar 2020,Maranhão,B.1.1,1
24,2020-03,Mar 2020,Maranhão,B.1.1.33,3
25,2020-03,Mar 2020,Mato Grosso,B.1.1.33,1
26,2020-03,Mar 2020,Mato Grosso,Outras,2
27,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1,1
28,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.28,1
29,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.33,2
30,2020-03,Mar 2020,Mato Grosso do Sul,Outras,1
31,2020-03,Mar 2020,Minas Gerais,B.1,22
32,2020-03,Mar 2020,Minas Gerais,B.1.1,16
33,2020-03,Mar 2020,Minas Gerais,B.1.1.28,3
34,2020-03,Mar 2020,Minas Gerais,B.1.1.33,6
35,2020-03,Mar 2020,Minas Gerais,Outras,12
36,2020-03,Mar 2020,Paraná,B.1,5
37,2020-03,Mar 2020,Paraná,B.1.1,2
38,2020-03,Mar 2020,Paraná,B.1.1.28,7
39,2020-03,Mar 2020,Paraná,B.1.1.33,9
40,2020-03,Mar 2020,Paraná,Outras,1
41,2020-03,Mar 2020,Paraíba,Outras,1
42,2020-03,Mar 2020,Pará,B.1,1
