,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02,FIOCRUZ,Fev 2020,3,3
1,2020-02,Outros,Fev 2020,5,5
2,2020-03,FIOCRUZ,Mar 2020,62,65
3,2020-03,Outros,Mar 2020,471,476
4,2020-04,FIOCRUZ,Abr 2020,261,326
5,2020-04,Outros,Abr 2020,807,1283
6,2020-05,FIOCRUZ,Mai 2020,140,466
7,2020-05,Outros,Mai 2020,240,1523
8,2020-06,FIOCRUZ,Jun 2020,136,602
9,2020-06,Outros,Jun 2020,265,1788
10,2020-07,FIOCRUZ,Jul 2020,114,716
11,2020-07,Outros,Jul 2020,275,2063
12,2020-08,FIOCRUZ,Ago 2020,141,857
13,2020-08,Outros,Ago 2020,195,2258
14,2020-09,FIOCRUZ,Set 2020,158,1015
15,2020-09,Outros,Set 2020,128,2386
16,2020-10,FIOCRUZ,Out 2020,170,1185
17,2020-10,Outros,Out 2020,224,2610
18,2020-11,FIOCRUZ,Nov 2020,132,1317
19,2020-11,Outros,Nov 2020,471,3081
20,2020-12,FIOCRUZ,Dez 2020,359,1676
21,2020-12,Outros,Dez 2020,620,3701
22,2021-01,FIOCRUZ,Jan 2021,615,2291
23,2021-01,Outros,Jan 2021,1150,4851
24,2021-02,FIOCRUZ,Fev 2021,998,3289
25,2021-02,Outros,Fev 2021,1311,6162
26,2021-03,FIOCRUZ,Mar 2021,916,4205
27,2021-03,Outros,Mar 2021,2710,8872
28,2021-04,FIOCRUZ,Abr 2021,798,5003
29,2021-04,Outros,Abr 2021,3626,12498
30,2021-05,FIOCRUZ,Mai 2021,1117,6120
31,2021-05,Outros,Mai 2021,3697,16195
32,2021-06,FIOCRUZ,Jun 2021,756,6876
33,2021-06,Outros,Jun 2021,966,17161
34,2021-07,FIOCRUZ,Jul 2021,129,7005
35,2021-07,Outros,Jul 2021,59,17220
