,Estado,Genomas sequenciados,Genomas/100 mil casos
0,Rondônia,34,13.278967677430442
1,Acre,133,152.95795381359832
2,Amazonas,1642,396.5101312926665
3,Roraima,39,32.82330959955562
4,Pará,392,68.84862961369245
5,Amapá,187,154.90904271181947
6,Tocantins,113,54.3282290439674
7,Maranhão,310,93.03553957611808
8,Piauí,19,6.176431387974163
9,Ceará,221,24.162644114865493
10,Rio Grande do Norte,195,54.49636970337207
11,Paraíba,244,58.32060557822251
12,Pernambuco,513,87.60036474537836
13,Alagoas,316,138.3664872864843
14,Sergipe,327,119.75872462451794
15,Bahia,461,38.88854677465479
16,Minas Gerais,529,27.320273657213715
17,Espírito Santo,237,43.941374419445445
18,Rio de Janeiro,4154,409.4292926256403
19,São Paulo,9895,247.30835039956733
20,Paraná,889,65.31313940204315
21,Santa Catarina,602,54.55725248951449
22,Rio Grande do Sul,1435,106.11668398303613
23,Mato Grosso do Sul,141,39.990924045606675
24,Mato Grosso,45,9.33038907722452
25,Goiás,1109,152.76176465321427
26,Distrito Federal,29,6.5002600104004165
