,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
0,2020-02,Fev 2020,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,1
1,2020-02,Fev 2020,Sudeste,Espírito Santo,Não VOC/VOI,Não VOC/VOI,1
2,2020-02,Fev 2020,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,4
3,2020-02,Fev 2020,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,2
4,2020-03,Mar 2020,Centro-oeste,Distrito Federal,Não VOC/VOI,Não VOC/VOI,5
5,2020-03,Mar 2020,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,3
6,2020-03,Mar 2020,Centro-oeste,Mato Grosso,Não VOC/VOI,Não VOC/VOI,3
7,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,Não VOC/VOI,Não VOC/VOI,5
8,2020-03,Mar 2020,Nordeste,Alagoas,Não VOC/VOI,Não VOC/VOI,1
9,2020-03,Mar 2020,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,25
10,2020-03,Mar 2020,Nordeste,Ceará,Não VOC/VOI,Não VOC/VOI,27
11,2020-03,Mar 2020,Nordeste,Maranhão,Não VOC/VOI,Não VOC/VOI,4
12,2020-03,Mar 2020,Nordeste,Paraíba,Não VOC/VOI,Não VOC/VOI,1
13,2020-03,Mar 2020,Nordeste,Piauí,Não VOC/VOI,Não VOC/VOI,1
14,2020-03,Mar 2020,Nordeste,Rio Grande do Norte,Não VOC/VOI,Não VOC/VOI,1
15,2020-03,Mar 2020,Nordeste,Sergipe,Não VOC/VOI,Não VOC/VOI,6
16,2020-03,Mar 2020,Norte,Acre,Não VOC/VOI,Não VOC/VOI,6
17,2020-03,Mar 2020,Norte,Amapá,Não VOC/VOI,Não VOC/VOI,1
18,2020-03,Mar 2020,Norte,Amazonas,Não VOC/VOI,Não VOC/VOI,4
19,2020-03,Mar 2020,Norte,Pará,Não VOC/VOI,Não VOC/VOI,8
20,2020-03,Mar 2020,Sudeste,Minas Gerais,Não VOC/VOI,Não VOC/VOI,59
21,2020-03,Mar 2020,Sudeste,Rio de Janeiro,Não VOC/VOI,Não VOC/VOI,43
22,2020-03,Mar 2020,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,252
23,2020-03,Mar 2020,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,24
24,2020-03,Mar 2020,Sul,Rio Grande do Sul,Não VOC/VOI,Não VOC/VOI,38
25,2020-03,Mar 2020,Sul,Santa Catarina,Não VOC/VOI,Não VOC/VOI,15
26,2020-04,Abr 2020,Centro-oeste,Distrito Federal,Não VOC/VOI,Não VOC/VOI,1
27,2020-04,Abr 2020,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,7
28,2020-04,Abr 2020,Centro-oeste,Mato Grosso,Não VOC/VOI,Não VOC/VOI,3
29,2020-04,Abr 2020,Centro-oeste,Mato Grosso do Sul,Não VOC/VOI,Não VOC/VOI,7
30,2020-04,Abr 2020,Nordeste,Alagoas,Não VOC/VOI,Não VOC/VOI,2
31,2020-04,Abr 2020,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,30
32,2020-04,Abr 2020,Nordeste,Ceará,Não VOC/VOI,Não VOC/VOI,13
33,2020-04,Abr 2020,Nordeste,Maranhão,Não VOC/VOI,Não VOC/VOI,17
34,2020-04,Abr 2020,Nordeste,Paraíba,Não VOC/VOI,Não VOC/VOI,26
35,2020-04,Abr 2020,Nordeste,Pernambuco,Não VOC/VOI,Não VOC/VOI,73
36,2020-04,Abr 2020,Nordeste,Rio Grande do Norte,Não VOC/VOI,Não VOC/VOI,8
37,2020-04,Abr 2020,Nordeste,Sergipe,Não VOC/VOI,Não VOC/VOI,22
38,2020-04,Abr 2020,Norte,Amapá,Não VOC/VOI,Não VOC/VOI,10
39,2020-04,Abr 2020,Norte,Amazonas,Não VOC/VOI,Não VOC/VOI,38
40,2020-04,Abr 2020,Norte,Pará,Não VOC/VOI,Não VOC/VOI,37
41,2020-04,Abr 2020,Norte,Roraima,Não VOC/VOI,Não VOC/VOI,2
42,2020-04,Abr 2020,Sudeste,Espírito Santo,Não VOC/VOI,Não VOC/VOI,2
43,2020-04,Abr 2020,Sudeste,Minas Gerais,Não VOC/VOI,Não VOC/VOI,32
44,2020-04,Abr 2020,Sudeste,Rio de Janeiro,Não VOC/VOI,Não VOC/VOI,251
45,2020-04,Abr 2020,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,441
46,2020-04,Abr 2020,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,22
47,2020-04,Abr 2020,Sul,Rio Grande do Sul,Não VOC/VOI,Não VOC/VOI,26
48,2020-04,Abr 2020,Sul,Santa Catarina,Não VOC/VOI,Não VOC/VOI,3
49,2020-05,Mai 2020,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,1
50,2020-05,Mai 2020,Centro-oeste,Mato Grosso do Sul,Não VOC/VOI,Não VOC/VOI,6
51,2020-05,Mai 2020,Nordeste,Alagoas,Não VOC/VOI,Não VOC/VOI,4
52,2020-05,Mai 2020,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,16
53,2020-05,Mai 2020,Nordeste,Ceará,Não VOC/VOI,Não VOC/VOI,9
54,2020-05,Mai 2020,Nordeste,Maranhão,Não VOC/VOI,Não VOC/VOI,4
55,2020-05,Mai 2020,Nordeste,Paraíba,Não VOC/VOI,Não VOC/VOI,5
56,2020-05,Mai 2020,Nordeste,Pernambuco,Não VOC/VOI,Não VOC/VOI,39
57,2020-05,Mai 2020,Norte,Acre,Não VOC/VOI,Não VOC/VOI,2
58,2020-05,Mai 2020,Norte,Amapá,Não VOC/VOI,Não VOC/VOI,6
59,2020-05,Mai 2020,Norte,Amazonas,Não VOC/VOI,Não VOC/VOI,28
60,2020-05,Mai 2020,Norte,Pará,Não VOC/VOI,Não VOC/VOI,9
61,2020-05,Mai 2020,Norte,Rondônia,Não VOC/VOI,Não VOC/VOI,7
62,2020-05,Mai 2020,Norte,Roraima,Não VOC/VOI,Não VOC/VOI,1
63,2020-05,Mai 2020,Sudeste,Espírito Santo,Não VOC/VOI,Não VOC/VOI,5
64,2020-05,Mai 2020,Sudeste,Minas Gerais,Não VOC/VOI,Não VOC/VOI,8
65,2020-05,Mai 2020,Sudeste,Rio de Janeiro,Não VOC/VOI,Não VOC/VOI,54
66,2020-05,Mai 2020,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,93
67,2020-05,Mai 2020,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,16
68,2020-05,Mai 2020,Sul,Rio Grande do Sul,Não VOC/VOI,Não VOC/VOI,68
69,2020-05,Mai 2020,Sul,Santa Catarina,Não VOC/VOI,Não VOC/VOI,3
70,2020-06,Jun 2020,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,12
71,2020-06,Jun 2020,Centro-oeste,Mato Grosso,Não VOC/VOI,Não VOC/VOI,2
72,2020-06,Jun 2020,Centro-oeste,Mato Grosso do Sul,Não VOC/VOI,Não VOC/VOI,2
73,2020-06,Jun 2020,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,13
74,2020-06,Jun 2020,Nordeste,Ceará,Não VOC/VOI,Não VOC/VOI,2
75,2020-06,Jun 2020,Nordeste,Paraíba,Não VOC/VOI,Não VOC/VOI,6
76,2020-06,Jun 2020,Nordeste,Pernambuco,Não VOC/VOI,Não VOC/VOI,50
77,2020-06,Jun 2020,Norte,Acre,Não VOC/VOI,Não VOC/VOI,2
78,2020-06,Jun 2020,Norte,Amazonas,Não VOC/VOI,Não VOC/VOI,16
