,Date,Laboratório,Período,Quantidade,Acumulado
0,2020-02,FIOCRUZ,Fev 2020,3,3
1,2020-02,Outros,Fev 2020,5,5
2,2020-03,FIOCRUZ,Mar 2020,62,65
3,2020-03,Outros,Mar 2020,465,470
4,2020-04,FIOCRUZ,Abr 2020,265,330
5,2020-04,Outros,Abr 2020,801,1271
6,2020-05,FIOCRUZ,Mai 2020,140,470
7,2020-05,Outros,Mai 2020,240,1511
8,2020-06,FIOCRUZ,Jun 2020,144,614
9,2020-06,Outros,Jun 2020,271,1782
10,2020-07,FIOCRUZ,Jul 2020,119,733
11,2020-07,Outros,Jul 2020,284,2066
12,2020-08,FIOCRUZ,Ago 2020,161,894
13,2020-08,Outros,Ago 2020,206,2272
14,2020-09,FIOCRUZ,Set 2020,196,1090
15,2020-09,Outros,Set 2020,133,2405
16,2020-10,FIOCRUZ,Out 2020,171,1261
17,2020-10,Outros,Out 2020,231,2636
18,2020-11,FIOCRUZ,Nov 2020,134,1395
19,2020-11,Outros,Nov 2020,469,3105
20,2020-12,FIOCRUZ,Dez 2020,356,1751
21,2020-12,Outros,Dez 2020,564,3669
22,2021-01,FIOCRUZ,Jan 2021,575,2326
23,2021-01,Outros,Jan 2021,1057,4726
24,2021-02,FIOCRUZ,Fev 2021,965,3291
25,2021-02,Outros,Fev 2021,1229,5955
26,2021-03,FIOCRUZ,Mar 2021,992,4283
27,2021-03,Outros,Mar 2021,2680,8635
28,2021-04,FIOCRUZ,Abr 2021,847,5130
29,2021-04,Outros,Abr 2021,3606,12241
30,2021-05,FIOCRUZ,Mai 2021,1310,6440
31,2021-05,Outros,Mai 2021,4008,16249
32,2021-06,FIOCRUZ,Jun 2021,987,7427
33,2021-06,Outros,Jun 2021,2220,18469
34,2021-07,FIOCRUZ,Jul 2021,338,7765
35,2021-07,Outros,Jul 2021,638,19107
