,Linhagem,Frequência,Porcentagem
0,P.1 (Gama),606,62.026612077789146
1,B.1.617.2 (Delta),202,20.67553735926305
2,P.1.7 ,79,8.085977482088024
3,P.1.4 ,43,4.401228249744114
4,P.1.2 (Gama),24,2.456499488229273
5,P.1.6 ,7,0.7164790174002047
6,B.1.621 ,4,0.4094165813715456
7,AY.3 (Delta),3,0.3070624360286591
8,P.1.1 (Gama),2,0.2047082906857728
9,P.2 ,1,0.1023541453428864
10,P.1.5 ,1,0.1023541453428864
11,P.4 ,1,0.1023541453428864
12,B.1.1.28 ,1,0.1023541453428864
13,None ,1,0.1023541453428864
14,P.1.3 ,1,0.1023541453428864
15,B.1.1.7 (Alfa),1,0.1023541453428864
