,Date,Período,Linhagem,Frequência
0,2020-02,Fev 2020,B.1.1,3
1,2020-02,Fev 2020,Outras,5
2,2020-03,Mar 2020,B.1.1,52
3,2020-03,Mar 2020,B.1.1.28,164
4,2020-03,Mar 2020,B.1.1.33,131
5,2020-03,Mar 2020,None,9
6,2020-03,Mar 2020,Outras,180
7,2020-04,Abr 2020,B.1.1,88
8,2020-04,Abr 2020,B.1.1.28,394
9,2020-04,Abr 2020,B.1.1.33,457
10,2020-04,Abr 2020,None,10
11,2020-04,Abr 2020,Outras,127
12,2020-05,Mai 2020,B.1.1,34
13,2020-05,Mai 2020,B.1.1.28,115
14,2020-05,Mai 2020,B.1.1.33,178
15,2020-05,Mai 2020,None,4
16,2020-05,Mai 2020,Outras,53
17,2020-06,Jun 2020,B.1.1,40
18,2020-06,Jun 2020,B.1.1.28,125
19,2020-06,Jun 2020,B.1.1.33,211
20,2020-06,Jun 2020,None,11
21,2020-06,Jun 2020,Outras,39
22,2020-07,Jul 2020,B.1.1,57
23,2020-07,Jul 2020,B.1.1.28,134
24,2020-07,Jul 2020,B.1.1.33,179
25,2020-07,Jul 2020,None,5
26,2020-07,Jul 2020,Outras,33
27,2020-08,Ago 2020,B.1.1,50
28,2020-08,Ago 2020,B.1.1.28,130
29,2020-08,Ago 2020,B.1.1.33,155
30,2020-08,Ago 2020,None,17
31,2020-08,Ago 2020,Outras,32
32,2020-09,Set 2020,B.1.1,55
33,2020-09,Set 2020,B.1.1.28,102
34,2020-09,Set 2020,B.1.1.33,144
35,2020-09,Set 2020,None,16
36,2020-09,Set 2020,Outras,24
37,2020-09,Set 2020,P.1 (Gama),1
38,2020-09,Set 2020,P.2,3
39,2020-10,Out 2020,B.1.1,33
40,2020-10,Out 2020,B.1.1.28,148
41,2020-10,Out 2020,B.1.1.33,129
42,2020-10,Out 2020,None,31
43,2020-10,Out 2020,Outras,19
44,2020-10,Out 2020,P.2,73
45,2020-11,Nov 2020,B.1.1,35
46,2020-11,Nov 2020,B.1.1.28,210
47,2020-11,Nov 2020,B.1.1.33,87
48,2020-11,Nov 2020,None,31
49,2020-11,Nov 2020,Outras,74
50,2020-11,Nov 2020,P.1 (Gama),2
51,2020-11,Nov 2020,P.2,195
52,2020-12,Dez 2020,B.1.1,35
53,2020-12,Dez 2020,B.1.1.28,184
54,2020-12,Dez 2020,B.1.1.33,68
55,2020-12,Dez 2020,B.1.1.7 (Alfa),2
56,2020-12,Dez 2020,None,94
57,2020-12,Dez 2020,Outras,93
58,2020-12,Dez 2020,P.1 (Gama),124
59,2020-12,Dez 2020,P.2,414
60,2021-01,Jan 2021,B.1.1,20
61,2021-01,Jan 2021,B.1.1.28,183
62,2021-01,Jan 2021,B.1.1.33,63
63,2021-01,Jan 2021,B.1.1.7 (Alfa),58
64,2021-01,Jan 2021,None,171
65,2021-01,Jan 2021,Outras,101
66,2021-01,Jan 2021,P.1 (Gama),420
67,2021-01,Jan 2021,P.1.2 (Gama),2
68,2021-01,Jan 2021,P.2,785
