,Date,Período,Região,Linhagem,Frequência
0,2020-02,Fev 2020,Nordeste,B.1.1,1
1,2020-02,Fev 2020,Sudeste,Outras,5
2,2020-02,Fev 2020,Sul,B.1.1,2
3,2020-03,Mar 2020,Centro-oeste,B.1.1,3
4,2020-03,Mar 2020,Centro-oeste,B.1.1.28,1
5,2020-03,Mar 2020,Centro-oeste,B.1.1.33,6
6,2020-03,Mar 2020,Centro-oeste,Outras,6
7,2020-03,Mar 2020,Nordeste,B.1.1,5
8,2020-03,Mar 2020,Nordeste,B.1.1.28,6
9,2020-03,Mar 2020,Nordeste,B.1.1.33,16
10,2020-03,Mar 2020,Nordeste,Outras,39
11,2020-03,Mar 2020,Norte,B.1.1,1
12,2020-03,Mar 2020,Norte,B.1.1.28,2
13,2020-03,Mar 2020,Norte,B.1.1.33,6
14,2020-03,Mar 2020,Norte,Outras,10
15,2020-03,Mar 2020,Sudeste,B.1.1,35
16,2020-03,Mar 2020,Sudeste,B.1.1.28,135
17,2020-03,Mar 2020,Sudeste,B.1.1.33,78
18,2020-03,Mar 2020,Sudeste,None,7
19,2020-03,Mar 2020,Sudeste,Outras,99
20,2020-03,Mar 2020,Sul,B.1.1,8
21,2020-03,Mar 2020,Sul,B.1.1.28,19
22,2020-03,Mar 2020,Sul,B.1.1.33,24
23,2020-03,Mar 2020,Sul,Outras,26
24,2020-04,Abr 2020,Centro-oeste,B.1.1.28,2
25,2020-04,Abr 2020,Centro-oeste,B.1.1.33,11
26,2020-04,Abr 2020,Centro-oeste,Outras,5
27,2020-04,Abr 2020,Nordeste,B.1.1,70
28,2020-04,Abr 2020,Nordeste,B.1.1.28,11
29,2020-04,Abr 2020,Nordeste,B.1.1.33,65
30,2020-04,Abr 2020,Nordeste,None,1
31,2020-04,Abr 2020,Nordeste,Outras,44
32,2020-04,Abr 2020,Norte,B.1.1.28,31
33,2020-04,Abr 2020,Norte,B.1.1.33,20
34,2020-04,Abr 2020,Norte,Outras,36
35,2020-04,Abr 2020,Sudeste,B.1.1,16
36,2020-04,Abr 2020,Sudeste,B.1.1.28,334
37,2020-04,Abr 2020,Sudeste,B.1.1.33,333
38,2020-04,Abr 2020,Sudeste,None,6
39,2020-04,Abr 2020,Sudeste,Outras,37
40,2020-04,Abr 2020,Sul,B.1.1,2
41,2020-04,Abr 2020,Sul,B.1.1.28,16
42,2020-04,Abr 2020,Sul,B.1.1.33,28
43,2020-04,Abr 2020,Sul,Outras,5
44,2020-05,Mai 2020,Centro-oeste,B.1.1.28,3
45,2020-05,Mai 2020,Centro-oeste,B.1.1.33,4
46,2020-05,Mai 2020,Nordeste,B.1.1,26
47,2020-05,Mai 2020,Nordeste,B.1.1.28,12
48,2020-05,Mai 2020,Nordeste,B.1.1.33,20
49,2020-05,Mai 2020,Nordeste,None,2
50,2020-05,Mai 2020,Nordeste,Outras,17
51,2020-05,Mai 2020,Norte,B.1.1.28,15
52,2020-05,Mai 2020,Norte,B.1.1.33,22
53,2020-05,Mai 2020,Norte,Outras,16
54,2020-05,Mai 2020,Sudeste,B.1.1,2
55,2020-05,Mai 2020,Sudeste,B.1.1.28,78
56,2020-05,Mai 2020,Sudeste,B.1.1.33,68
57,2020-05,Mai 2020,Sudeste,None,2
58,2020-05,Mai 2020,Sudeste,Outras,10
59,2020-05,Mai 2020,Sul,B.1.1,6
