,Date,Período,Estado,Linhagem,Frequência
0,2020-02,Fev 2020,Bahia,B.1.1,1
1,2020-02,Fev 2020,Espírito Santo,Outras,1
2,2020-02,Fev 2020,Paraná,B.1.1,2
3,2020-02,Fev 2020,São Paulo,Outras,4
4,2020-03,Mar 2020,Acre,B.1.1.33,3
5,2020-03,Mar 2020,Acre,Outras,3
6,2020-03,Mar 2020,Alagoas,B.1.1.28,1
7,2020-03,Mar 2020,Amapá,B.1.1.33,1
8,2020-03,Mar 2020,Amazonas,Outras,4
9,2020-03,Mar 2020,Bahia,B.1.1,3
10,2020-03,Mar 2020,Bahia,B.1.1.28,4
11,2020-03,Mar 2020,Bahia,B.1.1.33,9
12,2020-03,Mar 2020,Bahia,Outras,9
13,2020-03,Mar 2020,Ceará,B.1.1.33,1
14,2020-03,Mar 2020,Ceará,Outras,26
15,2020-03,Mar 2020,Distrito Federal,B.1.1,1
16,2020-03,Mar 2020,Distrito Federal,B.1.1.33,3
17,2020-03,Mar 2020,Distrito Federal,Outras,1
18,2020-03,Mar 2020,Goiás,B.1.1,1
19,2020-03,Mar 2020,Goiás,Outras,2
20,2020-03,Mar 2020,Maranhão,B.1.1,1
21,2020-03,Mar 2020,Maranhão,B.1.1.33,3
22,2020-03,Mar 2020,Mato Grosso,B.1.1.33,1
23,2020-03,Mar 2020,Mato Grosso,Outras,2
24,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1,1
25,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.28,1
26,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.33,2
27,2020-03,Mar 2020,Mato Grosso do Sul,Outras,1
28,2020-03,Mar 2020,Minas Gerais,B.1.1,10
29,2020-03,Mar 2020,Minas Gerais,B.1.1.28,3
30,2020-03,Mar 2020,Minas Gerais,B.1.1.33,6
31,2020-03,Mar 2020,Minas Gerais,Outras,40
32,2020-03,Mar 2020,Paraná,B.1.1,2
33,2020-03,Mar 2020,Paraná,B.1.1.28,7
34,2020-03,Mar 2020,Paraná,B.1.1.33,9
35,2020-03,Mar 2020,Paraná,Outras,6
36,2020-03,Mar 2020,Paraíba,Outras,1
37,2020-03,Mar 2020,Pará,B.1.1,1
38,2020-03,Mar 2020,Pará,B.1.1.28,2
39,2020-03,Mar 2020,Pará,B.1.1.33,2
40,2020-03,Mar 2020,Pará,Outras,3
41,2020-03,Mar 2020,Piauí,B.1.1.33,1
