,Date,Período,Região,Variantes relevantes,Frequência
0,2020-02,Fev 2020,Nordeste,Não VOC/VOI,1
1,2020-02,Fev 2020,Sudeste,Não VOC/VOI,5
2,2020-02,Fev 2020,Sul,Não VOC/VOI,2
3,2020-03,Mar 2020,Centro-oeste,Não VOC/VOI,16
4,2020-03,Mar 2020,Nordeste,Não VOC/VOI,66
5,2020-03,Mar 2020,Norte,Não VOC/VOI,19
6,2020-03,Mar 2020,Sudeste,Não VOC/VOI,354
7,2020-03,Mar 2020,Sul,Não VOC/VOI,77
8,2020-04,Abr 2020,Centro-oeste,Não VOC/VOI,18
9,2020-04,Abr 2020,Nordeste,Não VOC/VOI,191
10,2020-04,Abr 2020,Norte,Não VOC/VOI,87
11,2020-04,Abr 2020,Sudeste,Não VOC/VOI,726
12,2020-04,Abr 2020,Sul,Não VOC/VOI,51
13,2020-05,Mai 2020,Centro-oeste,Não VOC/VOI,7
14,2020-05,Mai 2020,Nordeste,Não VOC/VOI,77
15,2020-05,Mai 2020,Norte,Não VOC/VOI,53
16,2020-05,Mai 2020,Sudeste,Não VOC/VOI,160
17,2020-05,Mai 2020,Sul,Não VOC/VOI,87
18,2020-06,Jun 2020,Centro-oeste,Não VOC/VOI,16
19,2020-06,Jun 2020,Nordeste,Não VOC/VOI,71
20,2020-06,Jun 2020,Norte,Não VOC/VOI,28
21,2020-06,Jun 2020,Sudeste,Não VOC/VOI,114
22,2020-06,Jun 2020,Sul,Não VOC/VOI,191
23,2020-07,Jul 2020,Centro-oeste,Não VOC/VOI,15
24,2020-07,Jul 2020,Nordeste,Não VOC/VOI,74
25,2020-07,Jul 2020,Norte,Não VOC/VOI,23
26,2020-07,Jul 2020,Sudeste,Não VOC/VOI,159
27,2020-07,Jul 2020,Sul,Não VOC/VOI,135
28,2020-08,Ago 2020,Centro-oeste,Não VOC/VOI,22
29,2020-08,Ago 2020,Nordeste,Não VOC/VOI,83
30,2020-08,Ago 2020,Norte,Não VOC/VOI,20
31,2020-08,Ago 2020,Sudeste,Não VOC/VOI,97
32,2020-08,Ago 2020,Sul,Não VOC/VOI,146
33,2020-09,Set 2020,Centro-oeste,Não VOC/VOI,19
34,2020-09,Set 2020,Centro-oeste,P.2,1
35,2020-09,Set 2020,Nordeste,Não VOC/VOI,112
36,2020-09,Set 2020,Norte,Não VOC/VOI,27
37,2020-09,Set 2020,Sudeste,Não VOC/VOI,96
38,2020-09,Set 2020,Sudeste,P.2,1
39,2020-09,Set 2020,Sul,Não VOC/VOI,78
40,2020-09,Set 2020,Sul,P.1 (Gama),1
41,2020-09,Set 2020,Sul,P.2,1
42,2020-10,Out 2020,Centro-oeste,Não VOC/VOI,14
43,2020-10,Out 2020,Centro-oeste,P.2,5
44,2020-10,Out 2020,Nordeste,Não VOC/VOI,87
45,2020-10,Out 2020,Nordeste,P.2,12
46,2020-10,Out 2020,Norte,Não VOC/VOI,25
47,2020-10,Out 2020,Norte,P.2,7
48,2020-10,Out 2020,Sudeste,Não VOC/VOI,118
49,2020-10,Out 2020,Sudeste,P.2,31
50,2020-10,Out 2020,Sul,Não VOC/VOI,90
51,2020-10,Out 2020,Sul,P.2,18
52,2020-11,Nov 2020,Centro-oeste,Não VOC/VOI,4
53,2020-11,Nov 2020,Centro-oeste,P.2,3
54,2020-11,Nov 2020,Nordeste,Não VOC/VOI,71
55,2020-11,Nov 2020,Nordeste,P.1 (Gama),1
56,2020-11,Nov 2020,Nordeste,P.2,13
57,2020-11,Nov 2020,Norte,Não VOC/VOI,57
58,2020-11,Nov 2020,Norte,P.2,14
59,2020-11,Nov 2020,Sudeste,Não VOC/VOI,140
60,2020-11,Nov 2020,Sudeste,P.2,76
61,2020-11,Nov 2020,Sul,Não VOC/VOI,148
62,2020-11,Nov 2020,Sul,P.1 (Gama),1
63,2020-11,Nov 2020,Sul,P.2,89
64,2020-12,Dez 2020,Centro-oeste,B.1.1.7 (Alfa),2
65,2020-12,Dez 2020,Centro-oeste,Não VOC/VOI,43
