,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
0,2020-02,Fev 2020,Nordeste,B.1.1,B.1.1,1
1,2020-02,Fev 2020,Sudeste,B,Outras,1
2,2020-02,Fev 2020,Sudeste,B.1,Outras,3
3,2020-02,Fev 2020,Sudeste,B.40,Outras,1
4,2020-02,Fev 2020,Sul,B.1.1,B.1.1,2
5,2020-03,Mar 2020,Centro-oeste,B,Outras,1
6,2020-03,Mar 2020,Centro-oeste,B.1,Outras,1
7,2020-03,Mar 2020,Centro-oeste,B.1.1,B.1.1,2
8,2020-03,Mar 2020,Centro-oeste,B.1.1.28,B.1.1.28,1
9,2020-03,Mar 2020,Centro-oeste,B.1.1.33,B.1.1.33,6
10,2020-03,Mar 2020,Centro-oeste,B.1.22,Outras,1
11,2020-03,Mar 2020,Centro-oeste,B.1.547,Outras,1
12,2020-03,Mar 2020,Centro-oeste,B.4,Outras,2
13,2020-03,Mar 2020,Centro-oeste,B.40,Outras,1
14,2020-03,Mar 2020,Nordeste,A.1,Outras,1
15,2020-03,Mar 2020,Nordeste,B.1,Outras,27
16,2020-03,Mar 2020,Nordeste,B.1.1,B.1.1,4
17,2020-03,Mar 2020,Nordeste,B.1.1.28,B.1.1.28,6
18,2020-03,Mar 2020,Nordeste,B.1.1.33,B.1.1.33,17
19,2020-03,Mar 2020,Nordeste,B.1.212,Outras,8
20,2020-03,Mar 2020,Nordeste,B.1.610,Outras,1
21,2020-03,Mar 2020,Nordeste,B.3,Outras,1
22,2020-03,Mar 2020,Nordeste,B.59,Outras,1
23,2020-03,Mar 2020,Norte,A.2,Outras,2
24,2020-03,Mar 2020,Norte,B.1,Outras,1
25,2020-03,Mar 2020,Norte,B.1.1,B.1.1,1
26,2020-03,Mar 2020,Norte,B.1.1.28,B.1.1.28,2
27,2020-03,Mar 2020,Norte,B.1.1.33,B.1.1.33,6
28,2020-03,Mar 2020,Norte,B.1.195,Outras,2
29,2020-03,Mar 2020,Norte,B.1.212,Outras,5
30,2020-03,Mar 2020,Sudeste,A.2,Outras,2
31,2020-03,Mar 2020,Sudeste,B,Outras,2
32,2020-03,Mar 2020,Sudeste,B.1,Outras,51
33,2020-03,Mar 2020,Sudeste,B.1.1,B.1.1,29
34,2020-03,Mar 2020,Sudeste,B.1.1.1,Outras,1
35,2020-03,Mar 2020,Sudeste,B.1.1.236,Outras,1
36,2020-03,Mar 2020,Sudeste,B.1.1.28,B.1.1.28,135
37,2020-03,Mar 2020,Sudeste,B.1.1.33,B.1.1.33,87
38,2020-03,Mar 2020,Sudeste,B.1.1.372,Outras,1
39,2020-03,Mar 2020,Sudeste,B.1.1.398,Outras,5
40,2020-03,Mar 2020,Sudeste,B.1.1.71,Outras,1
