,Linhagem,Frequência,Porcentagem
0,P.1 (Gama),1012,64.0506329113924
1,B.1.617.2+AY.* (Delta),343,21.70886075949367
2,P.1.7 (Gama),125,7.9113924050632916
3,P.1.4 (Gama),45,2.848101265822785
4,P.1.8,26,1.6455696202531647
5,P.1.6 (Gama),6,0.37974683544303794
6,B.1.621,5,0.31645569620253167
7,B.1.1.7 (Alfa),3,0.18987341772151897
8,P.1.3,3,0.18987341772151897
9,P.2,2,0.12658227848101267
10,B.1.1.28,2,0.12658227848101267
11,P.5,2,0.12658227848101267
12,B.1.351 (Beta),2,0.12658227848101267
13,P.1.5,1,0.06329113924050633
14,P.4,1,0.06329113924050633
15,B.1.177.86,1,0.06329113924050633
16,B.1.1,1,0.06329113924050633
