,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-08-15,AP,state,122034,Amapá,260,1.22034,213.1
1,2021-08-15,PR,state,1416245,Paraná,945,14.16245,66.7
2,2021-08-15,RN,state,362356,Rio Grande do Norte,247,3.62356,68.2
3,2021-08-15,RJ,state,1080845,Rio de Janeiro,4841,10.80845,447.9
4,2021-08-15,RO,state,260751,Rondônia,34,2.60751,13.0
5,2021-08-15,PI,state,313410,Piauí,19,3.1341,6.1
6,2021-08-15,RS,state,1390756,Rio Grande do Sul,1539,13.90756,110.7
7,2021-08-15,RR,state,121940,Roraima,46,1.2194,37.7
8,2021-08-15,SC,state,1133790,Santa Catarina,693,11.3379,61.1
9,2021-08-15,SE,state,276865,Sergipe,327,2.76865,118.1
10,2021-08-15,TO,state,214771,Tocantins,130,2.14771,60.5
11,2021-08-15,ES,state,551458,Espírito Santo,348,5.51458,63.1
12,2021-08-15,AL,state,232954,Alagoas,462,2.32954,198.3
13,2021-08-15,AM,state,421553,Amazonas,1676,4.21553,397.6
14,2021-08-15,AC,state,87489,Acre,131,0.87489,149.7
15,2021-08-15,DF,state,459593,Distrito Federal,38,4.59593,8.3
16,2021-08-15,BA,state,1209429,Bahia,747,12.09429,61.8
17,2021-08-15,MA,state,343079,Maranhão,344,3.43079,100.3
18,2021-08-15,CE,state,926247,Ceará,548,9.26247,59.2
19,2021-08-15,GO,state,778053,Goiás,1709,7.78053,219.7
20,2021-08-15,PB,state,427885,Paraíba,328,4.27885,76.7
21,2021-08-15,MS,state,363282,Mato Grosso do Sul,141,3.63282,38.8
22,2021-08-15,MT,state,505304,Mato Grosso,92,5.05304,18.2
23,2021-08-15,PE,state,600292,Pernambuco,1017,6.00292,169.4
24,2021-08-15,MG,state,2021563,Minas Gerais,550,20.21563,27.2
25,2021-08-15,PA,state,577921,Pará,488,5.77921,84.4
26,2021-08-15,SP,state,4168493,São Paulo,10691,41.68493,256.5
