,Date,Período,Estado,Linhagem,Linhagens relevantes,Frequência
0,2020-02,Fev 2020,Bahia,B.1.1,B.1.1,1
1,2020-02,Fev 2020,Espírito Santo,B.40,Outras,1
2,2020-02,Fev 2020,Paraná,B.1.1,B.1.1,2
3,2020-02,Fev 2020,São Paulo,B,Outras,1
4,2020-02,Fev 2020,São Paulo,B.1,Outras,3
5,2020-03,Mar 2020,Acre,B.1.1.33,B.1.1.33,3
6,2020-03,Mar 2020,Acre,B.1.212,Outras,3
7,2020-03,Mar 2020,Alagoas,B.1.1.28,B.1.1.28,1
8,2020-03,Mar 2020,Amapá,B.1.1.33,B.1.1.33,1
9,2020-03,Mar 2020,Amazonas,A.2,Outras,2
10,2020-03,Mar 2020,Amazonas,B.1.195,Outras,2
11,2020-03,Mar 2020,Bahia,A.1,Outras,1
12,2020-03,Mar 2020,Bahia,B.1,Outras,6
13,2020-03,Mar 2020,Bahia,B.1.1,B.1.1,3
14,2020-03,Mar 2020,Bahia,B.1.1.28,B.1.1.28,4
15,2020-03,Mar 2020,Bahia,B.1.1.33,B.1.1.33,9
16,2020-03,Mar 2020,Bahia,B.1.610,Outras,1
17,2020-03,Mar 2020,Bahia,B.3,Outras,1
18,2020-03,Mar 2020,Ceará,B.1,Outras,19
19,2020-03,Mar 2020,Ceará,B.1.1.33,B.1.1.33,1
20,2020-03,Mar 2020,Ceará,B.1.212,Outras,7
21,2020-03,Mar 2020,Distrito Federal,B,Outras,1
22,2020-03,Mar 2020,Distrito Federal,B.1.1,B.1.1,1
23,2020-03,Mar 2020,Distrito Federal,B.1.1.33,B.1.1.33,3
24,2020-03,Mar 2020,Goiás,B.1,Outras,1
25,2020-03,Mar 2020,Goiás,B.1.22,Outras,1
26,2020-03,Mar 2020,Goiás,B.40,Outras,1
27,2020-03,Mar 2020,Maranhão,B.1.1.33,B.1.1.33,4
28,2020-03,Mar 2020,Mato Grosso,B.1.1.33,B.1.1.33,1
29,2020-03,Mar 2020,Mato Grosso,B.4,Outras,2
30,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1,B.1.1,1
31,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,1
32,2020-03,Mar 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,2
33,2020-03,Mar 2020,Mato Grosso do Sul,B.1.547,Outras,1
34,2020-03,Mar 2020,Minas Gerais,B,Outras,2
35,2020-03,Mar 2020,Minas Gerais,B.1,Outras,13
36,2020-03,Mar 2020,Minas Gerais,B.1.1,B.1.1,12
37,2020-03,Mar 2020,Minas Gerais,B.1.1.1,Outras,1
38,2020-03,Mar 2020,Minas Gerais,B.1.1.236,Outras,1
39,2020-03,Mar 2020,Minas Gerais,B.1.1.28,B.1.1.28,3
40,2020-03,Mar 2020,Minas Gerais,B.1.1.33,B.1.1.33,6
41,2020-03,Mar 2020,Minas Gerais,B.1.1.372,Outras,1
42,2020-03,Mar 2020,Minas Gerais,B.1.1.398,Outras,4
