,Linhagem,Frequência,Porcentagem
0,AY.99.2 (Delta),696,47.28260869565217
1,AY.43 (Delta),220,14.945652173913043
2,AY.101 (Delta),98,6.657608695652175
3,AY.46.3 (Delta),82,5.570652173913043
4,AY.34.1 (Delta),78,5.298913043478261
5,AY.100 (Delta),70,4.755434782608696
6,AY.99.1 (Delta),42,2.8532608695652173
7,AY.36 (Delta),35,2.377717391304348
8,AY.116 (Delta),25,1.6983695652173911
9,AY.34 (Delta),18,1.2228260869565217
10,P.1.7 (Gama),14,0.9510869565217392
11,AY.5 (Delta),12,0.8152173913043478
12,P.1 (Gama),11,0.7472826086956522
13,AY.102 (Delta),8,0.5434782608695652
14,B.1.617.2 (Delta),6,0.4076086956521739
15,P.1.4 (Gama),6,0.4076086956521739
16,AY.119 (Delta),5,0.33967391304347827
17,AY.42 (Delta),5,0.33967391304347827
18,AY.46 (Delta),4,0.2717391304347826
19,AY.106 (Delta),4,0.2717391304347826
20,AY.6 (Delta),4,0.2717391304347826
21,AY.26 (Delta),4,0.2717391304347826
22,AY.9.2 (Delta),3,0.20380434782608695
23,AY.103 (Delta),3,0.20380434782608695
24,AY.118 (Delta),3,0.20380434782608695
25,AY.39 (Delta),3,0.20380434782608695
26,AY.99 (Delta),2,0.1358695652173913
27,AY.25 (Delta),2,0.1358695652173913
28,AY.44 (Delta),2,0.1358695652173913
29,AY.121 (Delta),1,0.06793478260869565
30,AY.5.3 (Delta),1,0.06793478260869565
31,P.1.8 (Gama),1,0.06793478260869565
32,AY.117 (Delta),1,0.06793478260869565
33,B,1,0.06793478260869565
34,AY.111 (Delta),1,0.06793478260869565
35,P.1.6 (Gama),1,0.06793478260869565
