,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),438,38.59030837004405
1,AY.*+B.1.617.2 (Delta),263,23.17180616740088
2,AY.34.1 (Delta),136,11.98237885462555
3,AY.43.1 (Delta),105,9.251101321585903
4,AY.43.2 (Delta),78,6.8722466960352415
5,AY.101 (Delta),67,5.903083700440528
6,AY.46.3 (Delta),31,2.7312775330396475
7,AY.99.1 (Delta),8,0.7048458149779736
8,B.1.1.529 (Omicron),3,0.2643171806167401
9,P.1.* (Gama),2,0.1762114537444934
10,Outras,2,0.1762114537444934
11,P.1 (Gama),2,0.1762114537444934
