,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),2094,47.95053812686054
1,AY.*+B.1.617.2 (Delta),1323,30.29539729791619
2,AY.43.1 (Delta),269,6.159835127089535
3,AY.101 (Delta),234,5.358369590107626
4,AY.43.2 (Delta),214,4.90038928326082
5,AY.46.3 (Delta),96,2.198305472864667
6,AY.34.1 (Delta),62,1.4197389512250973
7,AY.99.1 (Delta),55,1.2594458438287155
8,P.1 (Gama),9,0.20609113808106252
9,BA.1 (Omicron),4,0.09159606136936112
10,P.1.* (Gama),4,0.09159606136936112
11,Outras,3,0.06869704602702084
