,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-12-08,AP,state,125161,Amapá,477,1.25161,381.1
1,2021-12-08,TO,state,234113,Tocantins,379,2.34113,161.9
2,2021-12-08,SE,state,278341,Sergipe,469,2.78341,168.5
3,2021-12-08,SC,state,1236468,Santa Catarina,1936,12.36468,156.6
4,2021-12-08,RN,state,384052,Rio Grande do Norte,726,3.84052,189.0
5,2021-12-08,RR,state,128717,Roraima,250,1.28717,194.2
6,2021-12-08,PR,state,1585165,Paraná,2711,15.85165,171.0
7,2021-12-08,RO,state,280199,Rondônia,181,2.80199,64.6
8,2021-12-08,MG,state,2213035,Minas Gerais,1651,22.13035,74.6
9,2021-12-08,PI,state,333318,Piauí,178,3.33318,53.4
10,2021-12-08,RJ,state,1348861,Rio de Janeiro,10349,13.48861,767.2
11,2021-12-08,PE,state,642496,Pernambuco,2612,6.42496,406.5
12,2021-12-08,RS,state,1497261,Rio Grande do Sul,2503,14.97261,167.2
13,2021-12-08,PB,state,462240,Paraíba,1295,4.6224,280.2
14,2021-12-08,BA,state,1264224,Bahia,1991,12.64224,157.5
15,2021-12-08,MT,state,554116,Mato Grosso,305,5.54116,55.0
16,2021-12-08,MS,state,379448,Mato Grosso do Sul,490,3.79448,129.1
17,2021-12-08,GO,state,942523,Goiás,3380,9.42523,358.6
18,2021-12-08,MA,state,366751,Maranhão,609,3.66751,166.1
19,2021-12-08,ES,state,623729,Espírito Santo,1185,6.23729,190.0
20,2021-12-08,AL,state,241764,Alagoas,1506,2.41764,622.9
21,2021-12-08,CE,state,952669,Ceará,2133,9.52669,223.9
22,2021-12-08,DF,state,518258,Distrito Federal,745,5.18258,143.8
23,2021-12-08,AM,state,430992,Amazonas,3008,4.30992,697.9
24,2021-12-08,AC,state,88254,Acre,230,0.88254,260.6
25,2021-12-08,PA,state,613978,Pará,968,6.13978,157.7
26,2021-12-08,SP,state,4447229,São Paulo,44766,44.47229,1006.6
