,Data,Laboratório,Período,Quantidade,Acumulado
0,2020-02-01,FIOCRUZ,Fev 2020,3,3
1,2020-02-01,Outros,Fev 2020,5,5
2,2020-03-01,FIOCRUZ,Mar 2020,66,69
3,2020-03-01,Outros,Mar 2020,495,500
4,2020-04-01,FIOCRUZ,Abr 2020,271,340
5,2020-04-01,Outros,Abr 2020,852,1352
6,2020-05-01,FIOCRUZ,Mai 2020,149,489
7,2020-05-01,Outros,Mai 2020,283,1635
8,2020-06-01,FIOCRUZ,Jun 2020,160,649
9,2020-06-01,Outros,Jun 2020,331,1966
10,2020-07-01,FIOCRUZ,Jul 2020,163,812
11,2020-07-01,Outros,Jul 2020,354,2320
12,2020-08-01,FIOCRUZ,Ago 2020,195,1007
13,2020-08-01,Outros,Ago 2020,275,2595
14,2020-09-01,FIOCRUZ,Set 2020,312,1319
15,2020-09-01,Outros,Set 2020,156,2751
16,2020-10-01,FIOCRUZ,Out 2020,217,1536
17,2020-10-01,Outros,Out 2020,270,3021
18,2020-11-01,FIOCRUZ,Nov 2020,350,1886
19,2020-11-01,Outros,Nov 2020,514,3535
20,2020-12-01,FIOCRUZ,Dez 2020,444,2330
21,2020-12-01,Outros,Dez 2020,715,4250
22,2021-01-01,FIOCRUZ,Jan 2021,748,3078
23,2021-01-01,Outros,Jan 2021,1267,5517
24,2021-02-01,FIOCRUZ,Fev 2021,1307,4385
25,2021-02-01,Outros,Fev 2021,1606,7123
26,2021-03-01,FIOCRUZ,Mar 2021,1454,5839
27,2021-03-01,Outros,Mar 2021,3740,10863
28,2021-04-01,FIOCRUZ,Abr 2021,1381,7220
29,2021-04-01,Outros,Abr 2021,6463,17326
30,2021-05-01,FIOCRUZ,Mai 2021,2047,9267
31,2021-05-01,Outros,Mai 2021,5929,23255
32,2021-06-01,FIOCRUZ,Jun 2021,2365,11632
33,2021-06-01,Outros,Jun 2021,8711,31966
34,2021-07-01,FIOCRUZ,Jul 2021,2843,14475
35,2021-07-01,Outros,Jul 2021,8080,40046
36,2021-08-01,FIOCRUZ,Ago 2021,2974,17449
37,2021-08-01,Outros,Ago 2021,7880,47926
38,2021-09-01,FIOCRUZ,Set 2021,3109,20558
39,2021-09-01,Outros,Set 2021,8309,56235
40,2021-10-01,FIOCRUZ,Out 2021,2261,22819
41,2021-10-01,Outros,Out 2021,5740,61975
42,2021-11-01,FIOCRUZ,Nov 2021,871,23690
43,2021-11-01,Outros,Nov 2021,4607,66582
44,2021-12-01,FIOCRUZ,Dez 2021,75,23765
45,2021-12-01,Outros,Dez 2021,698,67280
