,Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
0,2020-02-01,Fev 2020,Nordeste,Bahia,Outros,B.1.1,1
1,2020-02-01,Fev 2020,Sudeste,Espírito Santo,FIOCRUZ,Outras,1
2,2020-02-01,Fev 2020,Sudeste,São Paulo,Outros,Outras,4
3,2020-02-01,Fev 2020,Sul,Paraná,FIOCRUZ,B.1.1,2
4,2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,FIOCRUZ,B.1.1.33,5
5,2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Outros,B.1.1,1
6,2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Outros,Outras,1
7,2020-03-01,Mar 2020,Centro-oeste,Goiás,Outros,B.1.1,1
8,2020-03-01,Mar 2020,Centro-oeste,Goiás,Outros,Outras,2
9,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,1
10,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Outros,Outras,2
11,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,1
12,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,1
13,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,2
14,2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,1
15,2020-03-01,Mar 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,1
16,2020-03-01,Mar 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,2
17,2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1,1
18,2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1.28,4
19,2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1.33,9
20,2020-03-01,Mar 2020,Nordeste,Bahia,Outros,Outras,9
21,2020-03-01,Mar 2020,Nordeste,Ceará,Outros,B.1.1.33,1
22,2020-03-01,Mar 2020,Nordeste,Ceará,Outros,Outras,26
23,2020-03-01,Mar 2020,Nordeste,Maranhão,Outros,B.1.1,1
24,2020-03-01,Mar 2020,Nordeste,Maranhão,Outros,B.1.1.33,3
25,2020-03-01,Mar 2020,Nordeste,Paraíba,Outros,Outras,1
26,2020-03-01,Mar 2020,Nordeste,Piauí,Outros,B.1.1.33,1
27,2020-03-01,Mar 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,1
28,2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,2
29,2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.28,1
30,2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.33,1
31,2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,Outras,1
32,2020-03-01,Mar 2020,Nordeste,Sergipe,Outros,Outras,1
33,2020-03-01,Mar 2020,Norte,Acre,Outros,B.1.1.33,3
34,2020-03-01,Mar 2020,Norte,Acre,Outros,Outras,3
35,2020-03-01,Mar 2020,Norte,Amapá,Outros,B.1.1.33,1
