,Linhagem,Frequencia,Porcentagem
0,AY.99.2 (Delta),2677,48.89497716894977
1,AY.*+B.1.617.2 (Delta),1588,29.004566210045663
2,AY.101 (Delta),372,6.794520547945206
3,AY.43.1 (Delta),283,5.168949771689498
4,AY.43.2 (Delta),229,4.182648401826484
5,AY.99.1 (Delta),100,1.82648401826484
6,AY.46.3 (Delta),100,1.82648401826484
7,AY.34.1 (Delta),90,1.643835616438356
8,P.1.* (Gama),18,0.32876712328767127
9,P.1 (Gama),10,0.182648401826484
10,BA.1 (Omicron),4,0.0730593607305936
11,Outras,3,0.0547945205479452
12,P.1.7 (Gama),1,0.0182648401826484
