,Data,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
659,2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Outras,Não VOC/VOI,1
660,2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,P.2,Outras,Não VOC/VOI,2
661,2020-11-01,Nov 2020,Centro-oeste,Goiás,Outros,P.2,Outras,Não VOC/VOI,1
662,2020-11-01,Nov 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.378,Outras,Não VOC/VOI,1
663,2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Outras,Não VOC/VOI,1
664,2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Outras,Não VOC/VOI,2
665,2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.240,Outras,Não VOC/VOI,1
666,2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,Outras,Não VOC/VOI,2
667,2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.372,Outras,Não VOC/VOI,1
668,2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,P.2,Outras,Não VOC/VOI,1
669,2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,B.1.1.28,Outras,Não VOC/VOI,1
670,2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,P.2,Outras,Não VOC/VOI,3
671,2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1,Outras,Não VOC/VOI,1
672,2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,1
673,2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
674,2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.28,Outras,Não VOC/VOI,2
675,2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.33,Outras,Não VOC/VOI,3
676,2020-11-01,Nov 2020,Nordeste,Bahia,Outros,N.9,Outras,Não VOC/VOI,2
677,2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,3
678,2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,7
679,2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
680,2020-11-01,Nov 2020,Nordeste,Maranhão,FIOCRUZ,N.9,Outras,Não VOC/VOI,4
681,2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1,Outras,Não VOC/VOI,1
682,2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1.28,Outras,Não VOC/VOI,1
683,2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,N.9,Outras,Não VOC/VOI,3
684,2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,9
685,2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,3
686,2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
687,2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.7,Outras,Não VOC/VOI,2
688,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1,Outras,Não VOC/VOI,5
689,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.28,Outras,Não VOC/VOI,2
690,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.462,Outras,Não VOC/VOI,1
691,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,N.9,Outras,Não VOC/VOI,1
692,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.2,Outras,Não VOC/VOI,1
693,2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.7,Outras,Não VOC/VOI,2
694,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1,Outras,Não VOC/VOI,1
695,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,10
696,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,65
697,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.307,Outras,Não VOC/VOI,1
698,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,48
699,2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.201,Outras,Não VOC/VOI,1
