state,Estado,confirmed,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
TO,Tocantins,239022,483,2.39022,202.1
RN,Rio Grande do Norte,390383,757,3.90383,193.9
RR,Roraima,130305,296,1.30305,227.2
MS,Mato Grosso do Sul,385573,503,3.85573,130.5
AP,Amapá,127586,543,1.27586,425.6
SC,Santa Catarina,1264793,2236,12.64793,176.8
SE,Sergipe,278961,480,2.78961,172.1
RJ,Rio de Janeiro,1386877,11140,13.86877,803.2
RO,Rondônia,286791,207,2.86791,72.2
PR,Paraná,1634138,3510,16.34138,214.8
PB,Paraíba,466027,1464,4.66027,314.1
PI,Piauí,344557,198,3.44557,57.5
PE,Pernambuco,649459,2894,6.49459,445.6
MG,Minas Gerais,2266456,1841,22.66456,81.2
PA,Pará,629982,1281,6.29982,203.3
MT,Mato Grosso,565246,309,5.65246,54.7
BA,Bahia,1277975,2618,12.77975,204.9
GO,Goiás,954459,3609,9.54459,378.1
MA,Maranhão,372118,611,3.72118,164.2
CE,Ceará,963644,2565,9.63644,266.2
ES,Espírito Santo,643421,1531,6.43421,237.9
AL,Alagoas,243620,1668,2.4362,684.7
DF,Distrito Federal,527691,746,5.27691,141.4
AM,Amazonas,435978,3678,4.35978,843.6
AC,Acre,88440,231,0.8844,261.2
RS,Rio Grande do Sul,1535484,2664,15.35484,173.5
SP,São Paulo,4474109,45881,44.74109,1025.5
