,date,state,place_type,confirmed
1,2021-07-26,AP,state,120803
491,2021-07-26,AP,city,1377
937,2021-07-26,AP,city,1678
1378,2021-07-26,AP,city,872
1815,2021-07-26,AP,city,1533
2255,2021-07-26,AP,city,530
2703,2021-07-26,AP,city,8377
3160,2021-07-26,AP,city,59416
3643,2021-07-26,AP,city,3068
4101,2021-07-26,AP,city,5291
4569,2021-07-26,AP,city,3490
5018,2021-07-26,AP,city,2041
5476,2021-07-26,AP,city,393
5913,2021-07-26,AP,city,25558
6380,2021-07-26,AP,city,1286
6830,2021-07-26,AP,city,1966
7276,2021-07-26,AP,city,3927
7735,2021-07-26,AC,state,86987
18142,2021-07-26,AM,state,414344
18638,2021-07-26,AM,city,2901
19086,2021-07-26,AM,city,2369
19544,2021-07-26,AM,city,1864
20012,2021-07-26,AM,city,1901
20496,2021-07-26,AM,city,1447
20940,2021-07-26,AM,city,2809
21392,2021-07-26,AM,city,2886
21854,2021-07-26,AM,city,4425
22314,2021-07-26,AM,city,2436
22764,2021-07-26,AM,city,2707
23224,2021-07-26,AM,city,2281
23685,2021-07-26,AM,city,973
24134,2021-07-26,AM,city,2668
24621,2021-07-26,AM,city,2368
25076,2021-07-26,AM,city,682
25534,2021-07-26,AM,city,1356
25997,2021-07-26,AM,city,6720
26463,2021-07-26,AM,city,4426
26934,2021-07-26,AM,city,1015
27416,2021-07-26,AM,city,9484
27881,2021-07-26,AM,city,2575
28339,2021-07-26,AM,city,4205
28790,2021-07-26,AM,city,2691
29214,2021-07-26,AM,city,1599
29672,2021-07-26,AM,city,1690
30110,2021-07-26,AM,city,8050
30566,2021-07-26,AM,city,5465
30990,2021-07-26,AM,city,8884
31467,2021-07-26,AM,city,9717
31951,2021-07-26,AM,city,965
32390,2021-07-26,AM,city,3088
32846,2021-07-26,AM,city,1026
33287,2021-07-26,AM,city,985
33750,2021-07-26,AM,city,2759
34226,2021-07-26,AM,city,6995
34694,2021-07-26,AM,city,9561
35180,2021-07-26,AM,city,1771
35639,2021-07-26,AM,city,195505
36135,2021-07-26,AM,city,4694
36609,2021-07-26,AM,city,2416
37069,2021-07-26,AM,city,4907
37541,2021-07-26,AM,city,1875
38000,2021-07-26,AM,city,2631
38460,2021-07-26,AM,city,2383
38943,2021-07-26,AM,city,2033
39401,2021-07-26,AM,city,10014
39892,2021-07-26,AM,city,2766
40334,2021-07-26,AM,city,6191
40808,2021-07-26,AM,city,4777
41268,2021-07-26,AM,city,2745
41732,2021-07-26,AM,city,1858
