DATA_COLETA2,DATA_COLETA_PT,UF_COLETA,BA.1,BA.2,BA.4 ou BA.5,Delta,XBB,TOTAL,TOTAL_OMICRON,PORC_OMICRON_TOTAL,PORC_OMICRON_BA1,PORC_OMICRON_BA2,PORC_OMICRON_BA4_BA5,PORC_OMICRON_XBB,MV_PORC_OMICRON,MV_PORC_OMICRON_BA1,MV_PORC_OMICRON_BA2,MV_PORC_OMICRON_BA4_BA5,MV_PORC_OMICRON_XBB,Estado
2021-12-01,01-12-2021,AC,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,Acre
2021-12-03,03-12-2021,AC,0,0,0,7,0,7,0,0.0,0.0,0.0,0.0,0.0,,,,,,Acre
2021-12-05,05-12-2021,AC,0,0,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,Acre
2021-12-06,06-12-2021,AC,0,0,0,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-07,07-12-2021,AC,0,0,0,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-09,09-12-2021,AC,0,0,0,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-10,10-12-2021,AC,0,0,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-11,11-12-2021,AC,0,0,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-13,13-12-2021,AC,0,0,0,18,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-14,14-12-2021,AC,0,0,0,5,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acre
2021-12-15,15-12-2021,AC,0,0,0,11,0,11,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Acre
2021-12-16,16-12-2021,AC,0,0,0,9,0,9,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Acre
2021-12-17,17-12-2021,AC,0,0,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Acre
