UF_COLETA,Estado,Amostras,ULTIMA_MV_PORC_OMICRON,% Provável BA.1,% Provável BA.2,% Provável BA.4 ou BA.5,% Provável XBB,Última coleta
AC,Acre,546,100.0,100.0,0.0,0.0,0.0,13-02-2022
AL,Alagoas,698,100.0,0.0,48.6,37.1,14.3,24-02-2023
AM,Amazonas,732,100.0,70.9,0.6,0.0,28.6,14-02-2023
AP,Amapá,1262,100.0,0.0,0.0,0.0,100.0,20-03-2023
BA,Bahia,1183,100.0,0.0,0.0,64.3,35.7,28-02-2023
CE,Ceará,8449,100.0,0.0,0.0,71.4,28.6,20-02-2023
DF,Distrito Federal,920,100.0,0.0,0.0,85.7,14.3,03-03-2023
ES,Espírito Santo,499,100.0,0.0,0.0,3.6,96.4,03-03-2023
GO,Goiás,10,100.0,0.0,0.0,64.3,35.7,27-02-2023
MA,Maranhão,5735,100.0,57.1,0.0,42.9,0.0,26-07-2022
MG,Minas Gerais,2329,100.0,0.0,0.0,0.0,100.0,01-03-2023
MS,Mato Grosso do Sul,615,100.0,0.0,0.0,14.3,85.7,03-03-2023
MT,Mato Grosso,85,100.0,0.0,0.0,0.0,100.0,02-03-2023
PA,Pará,431,100.0,42.9,0.0,28.6,28.6,02-03-2023
PB,Paraíba,409,100.0,85.7,0.0,14.3,0.0,06-07-2022
PE,Pernambuco,12,100.0,0.0,0.0,85.7,14.3,03-03-2023
PI,Piauí,225,100.0,42.9,0.0,28.6,28.6,27-02-2023
PR,Paraná,30,100.0,0.0,0.0,0.0,100.0,01-03-2023
RJ,Rio de Janeiro,6357,100.0,0.0,0.0,10.5,89.5,03-03-2023
RN,Rio Grande do Norte,235,100.0,40.8,2.0,42.9,14.3,14-02-2023
RO,Rondônia,508,100.0,100.0,0.0,0.0,0.0,14-03-2022
RR,Roraima,522,100.0,71.1,28.9,0.0,0.0,18-02-2022
RS,Rio Grande do Sul,5272,100.0,0.0,0.0,85.7,14.3,27-02-2023
SC,Santa Catarina,2124,100.0,0.0,0.0,68.1,31.9,02-03-2023
SE,Sergipe,29,14.3,14.3,0.0,0.0,0.0,26-12-2021
SP,São Paulo,20028,100.0,0.0,0.0,3.6,96.4,03-03-2023
TO,Tocantins,796,100.0,33.0,67.0,0.0,0.0,20-02-2022
