Date,Laboratory,Period,Quantity,Cumullative
2020-01-01,FIOCRUZ,Jan 2020,6,6
2020-01-01,Others,Jan 2020,9,9
2020-02-01,FIOCRUZ,Feb 2020,3,9
2020-02-01,Others,Feb 2020,6,15
2020-03-01,FIOCRUZ,Mar 2020,69,78
2020-03-01,Others,Mar 2020,504,519
2020-04-01,FIOCRUZ,Apr 2020,343,421
2020-04-01,Others,Apr 2020,1041,1560
2020-05-01,FIOCRUZ,May 2020,161,582
2020-05-01,Others,May 2020,525,2085
2020-06-01,FIOCRUZ,Jun 2020,171,753
2020-06-01,Others,Jun 2020,997,3082
2020-07-01,FIOCRUZ,Jul 2020,307,1060
2020-07-01,Others,Jul 2020,906,3988
2020-08-01,FIOCRUZ,Aug 2020,363,1423
2020-08-01,Others,Aug 2020,736,4724
2020-09-01,FIOCRUZ,Sep 2020,494,1917
2020-09-01,Others,Sep 2020,568,5292
2020-10-01,FIOCRUZ,Oct 2020,422,2339
2020-10-01,Others,Oct 2020,634,5926
2020-11-01,FIOCRUZ,Nov 2020,739,3078
2020-11-01,Others,Nov 2020,992,6918
2020-12-01,FIOCRUZ,Dec 2020,639,3717
2020-12-01,Others,Dec 2020,1249,8167
2021-01-01,FIOCRUZ,Jan 2021,907,4624
2021-01-01,Others,Jan 2021,2495,10662
2021-02-01,FIOCRUZ,Feb 2021,1484,6108
2021-02-01,Others,Feb 2021,2500,13162
2021-03-01,FIOCRUZ,Mar 2021,1737,7845
2021-03-01,Others,Mar 2021,5386,18548
2021-04-01,FIOCRUZ,Apr 2021,1848,9693
2021-04-01,Others,Apr 2021,7717,26265
2021-05-01,FIOCRUZ,May 2021,2585,12278
2021-05-01,Others,May 2021,7479,33744
2021-06-01,FIOCRUZ,Jun 2021,2835,15113
2021-06-01,Others,Jun 2021,10471,44215
2021-07-01,FIOCRUZ,Jul 2021,3266,18379
2021-07-01,Others,Jul 2021,9361,53576
2021-08-01,FIOCRUZ,Aug 2021,3588,21967
2021-08-01,Others,Aug 2021,10929,64505
2021-09-01,FIOCRUZ,Sep 2021,3581,25548
2021-09-01,Others,Sep 2021,9952,74457
2021-10-01,FIOCRUZ,Oct 2021,3288,28836
2021-10-01,Others,Oct 2021,7094,81551
2021-11-01,FIOCRUZ,Nov 2021,3087,31923
2021-11-01,Others,Nov 2021,7398,88949
2021-12-01,FIOCRUZ,Dec 2021,2890,34813
2021-12-01,Others,Dec 2021,5597,94546
2022-01-01,FIOCRUZ,Jan 2022,13899,48712
2022-01-01,Others,Jan 2022,14203,108749
2022-02-01,FIOCRUZ,Feb 2022,2482,51194
2022-02-01,Others,Feb 2022,10585,119334
2022-03-01,FIOCRUZ,Mar 2022,996,52190
2022-03-01,Others,Mar 2022,4964,124298
2022-04-01,FIOCRUZ,Apr 2022,489,52679
2022-04-01,Others,Apr 2022,2492,126790
2022-05-01,FIOCRUZ,May 2022,1960,54639
2022-05-01,Others,May 2022,5824,132614
2022-06-01,FIOCRUZ,Jun 2022,4921,59560
2022-06-01,Others,Jun 2022,6222,138836
2022-07-01,FIOCRUZ,Jul 2022,6112,65672
2022-07-01,Others,Jul 2022,4997,143833
2022-08-01,FIOCRUZ,Aug 2022,924,66596
2022-08-01,Others,Aug 2022,2381,146214
2022-09-01,FIOCRUZ,Sep 2022,246,66842
2022-09-01,Others,Sep 2022,513,146727
2022-10-01,FIOCRUZ,Oct 2022,884,67726
2022-10-01,Others,Oct 2022,977,147704
2022-11-01,FIOCRUZ,Nov 2022,3642,71368
2022-11-01,Others,Nov 2022,5564,153268
2022-12-01,FIOCRUZ,Dec 2022,2739,74107
2022-12-01,Others,Dec 2022,3432,156700
2023-01-01,FIOCRUZ,Jan 2023,860,74967
2023-01-01,Others,Jan 2023,1382,158082
2023-02-01,FIOCRUZ,Feb 2023,1792,76759
2023-02-01,Others,Feb 2023,863,158945
2023-03-01,FIOCRUZ,Mar 2023,434,77193
2023-03-01,Others,Mar 2023,1229,160174
2023-04-01,FIOCRUZ,Apr 2023,274,77467
2023-04-01,Others,Apr 2023,1009,161183
2023-05-01,FIOCRUZ,May 2023,284,77751
2023-05-01,Others,May 2023,957,162140
2023-06-01,FIOCRUZ,Jun 2023,288,78039
2023-06-01,Others,Jun 2023,650,162790
2023-07-01,FIOCRUZ,Jul 2023,174,78213
2023-07-01,Others,Jul 2023,248,163038
2023-08-01,FIOCRUZ,Aug 2023,438,78651
2023-08-01,Others,Aug 2023,309,163347
2023-09-01,FIOCRUZ,Sep 2023,855,79506
2023-09-01,Others,Sep 2023,698,164045
2023-10-01,FIOCRUZ,Oct 2023,858,80364
2023-10-01,Others,Oct 2023,786,164831
2023-11-01,FIOCRUZ,Nov 2023,537,80901
2023-11-01,Others,Nov 2023,676,165507
2023-12-01,FIOCRUZ,Dec 2023,417,81318
2023-12-01,Others,Dec 2023,206,165713
2024-01-01,FIOCRUZ,Jan 2024,2,81320
2024-01-01,Others,Jan 2024,15,165728
