Fecha,Período,Región,Estado,Laboratorio,Lineajes relevantes,Cantidad
2020-02-01,Feb 2020,Noreste,Bahia,Otros,B.1.1,1
2020-02-01,Feb 2020,Sureste,Espírito Santo,FIOCRUZ,Otras,1
2020-02-01,Feb 2020,Sureste,São Paulo,Otros,B.1.1.28,1
2020-02-01,Feb 2020,Sureste,São Paulo,Otros,Otras,4
2020-02-01,Feb 2020,Sur,Paraná,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,FIOCRUZ,B.1.1.33,5
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Otros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Otros,Otras,1
2020-03-01,Mar 2020,Centro-oeste,Goiás,Otros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Goiás,Otros,Otras,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Otros,Otras,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Otros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Otros,B.1.1.28,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Otros,B.1.1.33,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Otros,Otras,1
2020-03-01,Mar 2020,Noreste,Alagoas,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Noreste,Bahia,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Noreste,Bahia,Otros,B.1.1,1
2020-03-01,Mar 2020,Noreste,Bahia,Otros,B.1.1.28,4
2020-03-01,Mar 2020,Noreste,Bahia,Otros,B.1.1.33,9
2020-03-01,Mar 2020,Noreste,Bahia,Otros,Otras,9
2020-03-01,Mar 2020,Noreste,Ceará,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Noreste,Ceará,Otros,Otras,26
2020-03-01,Mar 2020,Noreste,Maranhão,Otros,B.1.1.33,4
2020-03-01,Mar 2020,Noreste,Paraíba,Otros,Otras,1
2020-03-01,Mar 2020,Noreste,Piauí,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Noreste,Rio Grande do Norte,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Noreste,Sergipe,FIOCRUZ,B.1.1,1
2020-03-01,Mar 2020,Noreste,Sergipe,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Noreste,Sergipe,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,Noreste,Sergipe,FIOCRUZ,Otras,2
2020-03-01,Mar 2020,Noreste,Sergipe,Otros,Otras,1
2020-03-01,Mar 2020,Norte,Acre,FIOCRUZ,B.1.1.33,2
2020-03-01,Mar 2020,Norte,Acre,Otros,B.1.1.33,3
2020-03-01,Mar 2020,Norte,Acre,Otros,Otras,3
2020-03-01,Mar 2020,Norte,Amapá,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Norte,Amazonas,FIOCRUZ,Otras,3
2020-03-01,Mar 2020,Norte,Amazonas,Otros,Otras,1
2020-03-01,Mar 2020,Norte,Pará,Otros,B.1.1,1
2020-03-01,Mar 2020,Norte,Pará,Otros,B.1.1.28,2
2020-03-01,Mar 2020,Norte,Pará,Otros,B.1.1.33,2
2020-03-01,Mar 2020,Norte,Pará,Otros,Otras,3
2020-03-01,Mar 2020,Sureste,Espírito Santo,Otros,B.1.1.33,1
2020-03-01,Mar 2020,Sureste,Minas Gerais,Otros,B.1.1,14
2020-03-01,Mar 2020,Sureste,Minas Gerais,Otros,B.1.1.28,3
2020-03-01,Mar 2020,Sureste,Minas Gerais,Otros,B.1.1.33,9
2020-03-01,Mar 2020,Sureste,Minas Gerais,Otros,Otras,29
2020-03-01,Mar 2020,Sureste,Rio de Eneeiro,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Sureste,Rio de Eneeiro,FIOCRUZ,B.1.1.33,10
2020-03-01,Mar 2020,Sureste,Rio de Eneeiro,FIOCRUZ,Otras,5
2020-03-01,Mar 2020,Sureste,Rio de Eneeiro,Otros,B.1.1.33,14
2020-03-01,Mar 2020,Sureste,Rio de Eneeiro,Otros,Otras,18
2020-03-01,Mar 2020,Sureste,São Paulo,Otros,B.1.1,20
2020-03-01,Mar 2020,Sureste,São Paulo,Otros,B.1.1.28,147
2020-03-01,Mar 2020,Sureste,São Paulo,Otros,B.1.1.33,59
2020-03-01,Mar 2020,Sureste,São Paulo,Otros,Otras,32
2020-03-01,Mar 2020,Sur,Paraná,FIOCRUZ,B.1.1.28,2
2020-03-01,Mar 2020,Sur,Paraná,FIOCRUZ,B.1.1.33,8
2020-03-01,Mar 2020,Sur,Paraná,FIOCRUZ,Otras,5
2020-03-01,Mar 2020,Sur,Paraná,Otros,B.1.1,1
2020-03-01,Mar 2020,Sur,Paraná,Otros,B.1.1.28,6
2020-03-01,Mar 2020,Sur,Paraná,Otros,B.1.1.33,2
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,FIOCRUZ,B.1.1.28,4
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,FIOCRUZ,Otras,2
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,Otros,B.1.1,3
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,Otros,B.1.1.28,5
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,Otros,B.1.1.33,7
2020-03-01,Mar 2020,Sur,Rio Grande do Sul,Otros,Otras,10
2020-03-01,Mar 2020,Sur,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,Sur,Santa Catarina,FIOCRUZ,Otras,3
2020-03-01,Mar 2020,Sur,Santa Catarina,Otros,B.1.1,1
2020-03-01,Mar 2020,Sur,Santa Catarina,Otros,B.1.1.28,3
2020-03-01,Mar 2020,Sur,Santa Catarina,Otros,B.1.1.33,5
2020-03-01,Mar 2020,Sur,Santa Catarina,Otros,Otras,3
2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Otros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Otros,B.1.1.33,1
2020-04-01,Abr 2020,Centro-oeste,Goiás,Otros,B.1.1.33,4
2020-04-01,Abr 2020,Centro-oeste,Goiás,Otros,Otras,3
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Otros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Otros,B.1.1.33,2
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Otros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Otros,B.1.1.33,4
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Otros,Otras,2
2020-04-01,Abr 2020,Noreste,Alagoas,FIOCRUZ,B.1.1.28,2
2020-04-01,Abr 2020,Noreste,Alagoas,FIOCRUZ,B.1.1.33,1
2020-04-01,Abr 2020,Noreste,Bahia,FIOCRUZ,B.1.1.28,5
2020-04-01,Abr 2020,Noreste,Bahia,FIOCRUZ,B.1.1.33,3
2020-04-01,Abr 2020,Noreste,Bahia,FIOCRUZ,Otras,4
2020-04-01,Abr 2020,Noreste,Bahia,Otros,B.1.1,1
2020-04-01,Abr 2020,Noreste,Bahia,Otros,B.1.1.28,9
2020-04-01,Abr 2020,Noreste,Bahia,Otros,B.1.1.33,31
2020-04-01,Abr 2020,Noreste,Bahia,Otros,Otras,5
2020-04-01,Abr 2020,Noreste,Ceará,FIOCRUZ,B.1.1.33,8
2020-04-01,Abr 2020,Noreste,Ceará,Otros,B.1.1.28,1
2020-04-01,Abr 2020,Noreste,Ceará,Otros,B.1.1.33,1
2020-04-01,Abr 2020,Noreste,Ceará,Otros,Otras,5
2020-04-01,Abr 2020,Noreste,Maranhão,Otros,B.1.1.33,17
2020-04-01,Abr 2020,Noreste,Paraíba,FIOCRUZ,B.1.1,17
2020-04-01,Abr 2020,Noreste,Paraíba,FIOCRUZ,B.1.1.33,7
2020-04-01,Abr 2020,Noreste,Paraíba,Otros,B.1.1,2
2020-04-01,Abr 2020,Noreste,Pernambuco,FIOCRUZ,B.1.1,53
2020-04-01,Abr 2020,Noreste,Pernambuco,FIOCRUZ,B.1.1.28,3
2020-04-01,Abr 2020,Noreste,Pernambuco,FIOCRUZ,B.1.1.33,1
2020-04-01,Abr 2020,Noreste,Pernambuco,FIOCRUZ,Otras,4
2020-04-01,Abr 2020,Noreste,Pernambuco,Otros,B.1.1,8
2020-04-01,Abr 2020,Noreste,Pernambuco,Otros,B.1.1.28,2
2020-04-01,Abr 2020,Noreste,Pernambuco,Otros,B.1.1.33,1
