Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
2020-02-01,Fev 2020,Nordeste,Bahia,Outros,B.1.1,1
2020-02-01,Fev 2020,Sudeste,Espírito Santo,FIOCRUZ,Outras,1
2020-02-01,Fev 2020,Sudeste,São Paulo,Outros,B.1.1.28,1
2020-02-01,Fev 2020,Sudeste,São Paulo,Outros,Outras,4
2020-02-01,Fev 2020,Sul,Paraná,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,FIOCRUZ,B.1.1.33,5
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Outros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Distrito Federal,Outros,Outras,1
2020-03-01,Mar 2020,Centro-oeste,Goiás,Outros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Goiás,Outros,Outras,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso,Outros,Outras,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,1
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,2
2020-03-01,Mar 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,1
2020-03-01,Mar 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1,1
2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1.28,4
2020-03-01,Mar 2020,Nordeste,Bahia,Outros,B.1.1.33,9
2020-03-01,Mar 2020,Nordeste,Bahia,Outros,Outras,9
2020-03-01,Mar 2020,Nordeste,Ceará,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Nordeste,Ceará,Outros,Outras,26
2020-03-01,Mar 2020,Nordeste,Maranhão,Outros,B.1.1.33,4
2020-03-01,Mar 2020,Nordeste,Paraíba,Outros,Outras,1
2020-03-01,Mar 2020,Nordeste,Piauí,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,1
2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,Nordeste,Sergipe,FIOCRUZ,Outras,2
2020-03-01,Mar 2020,Nordeste,Sergipe,Outros,Outras,1
2020-03-01,Mar 2020,Norte,Acre,FIOCRUZ,B.1.1.33,2
2020-03-01,Mar 2020,Norte,Acre,Outros,B.1.1.33,3
2020-03-01,Mar 2020,Norte,Acre,Outros,Outras,3
2020-03-01,Mar 2020,Norte,Amapá,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Norte,Amazonas,FIOCRUZ,Outras,3
2020-03-01,Mar 2020,Norte,Amazonas,Outros,Outras,1
2020-03-01,Mar 2020,Norte,Pará,Outros,B.1.1,1
2020-03-01,Mar 2020,Norte,Pará,Outros,B.1.1.28,2
2020-03-01,Mar 2020,Norte,Pará,Outros,B.1.1.33,2
2020-03-01,Mar 2020,Norte,Pará,Outros,Outras,3
2020-03-01,Mar 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,1
2020-03-01,Mar 2020,Sudeste,Minas Gerais,Outros,B.1.1,14
2020-03-01,Mar 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,3
2020-03-01,Mar 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,9
2020-03-01,Mar 2020,Sudeste,Minas Gerais,Outros,Outras,29
2020-03-01,Mar 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,10
2020-03-01,Mar 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,6
2020-03-01,Mar 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,14
2020-03-01,Mar 2020,Sudeste,Rio de Janeiro,Outros,Outras,18
2020-03-01,Mar 2020,Sudeste,São Paulo,Outros,B.1.1,20
2020-03-01,Mar 2020,Sudeste,São Paulo,Outros,B.1.1.28,148
2020-03-01,Mar 2020,Sudeste,São Paulo,Outros,B.1.1.33,61
2020-03-01,Mar 2020,Sudeste,São Paulo,Outros,Outras,32
2020-03-01,Mar 2020,Sudeste,São Paulo,Outros,P.2,2
2020-03-01,Mar 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,2
2020-03-01,Mar 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,8
2020-03-01,Mar 2020,Sul,Paraná,FIOCRUZ,Outras,5
2020-03-01,Mar 2020,Sul,Paraná,Outros,B.1.1,1
2020-03-01,Mar 2020,Sul,Paraná,Outros,B.1.1.28,6
2020-03-01,Mar 2020,Sul,Paraná,Outros,B.1.1.33,2
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,4
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,2
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1,3
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,5
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,8
2020-03-01,Mar 2020,Sul,Rio Grande do Sul,Outros,Outras,10
2020-03-01,Mar 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,Sul,Santa Catarina,FIOCRUZ,Outras,3
2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1,1
2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1.28,3
2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,B.1.1.33,5
2020-03-01,Mar 2020,Sul,Santa Catarina,Outros,Outras,3
2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Centro-oeste,Goiás,Outros,B.1.1.33,4
2020-04-01,Abr 2020,Centro-oeste,Goiás,Outros,Outras,3
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,2
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,4
2020-04-01,Abr 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,2
2020-04-01,Abr 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,2
2020-04-01,Abr 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.33,1
2020-04-01,Abr 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,7
2020-04-01,Abr 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,6
2020-04-01,Abr 2020,Nordeste,Bahia,FIOCRUZ,Outras,6
2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1,1
2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1.28,9
2020-04-01,Abr 2020,Nordeste,Bahia,Outros,B.1.1.33,31
2020-04-01,Abr 2020,Nordeste,Bahia,Outros,Outras,5
2020-04-01,Abr 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,8
2020-04-01,Abr 2020,Nordeste,Ceará,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Nordeste,Ceará,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Nordeste,Ceará,Outros,Outras,5
2020-04-01,Abr 2020,Nordeste,Maranhão,Outros,B.1.1.33,17
2020-04-01,Abr 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,17
2020-04-01,Abr 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,7
2020-04-01,Abr 2020,Nordeste,Paraíba,Outros,B.1.1,2
2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,54
2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,3
2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,1
2020-04-01,Abr 2020,Nordeste,Pernambuco,FIOCRUZ,Outras,3
2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1,8
2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1.28,2
2020-04-01,Abr 2020,Nordeste,Pernambuco,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Nordeste,Rio Grande do Norte,Outros,Outras,11
2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,3
2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.28,1
2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1.33,6
2020-04-01,Abr 2020,Nordeste,Sergipe,FIOCRUZ,Outras,12
2020-04-01,Abr 2020,Norte,Acre,FIOCRUZ,B.1.1.33,45
2020-04-01,Abr 2020,Norte,Acre,FIOCRUZ,Outras,1
2020-04-01,Abr 2020,Norte,Amapá,Outros,B.1.1.33,10
2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,2
2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,1
2020-04-01,Abr 2020,Norte,Amazonas,FIOCRUZ,Outras,31
2020-04-01,Abr 2020,Norte,Amazonas,Outros,B.1.1.33,2
2020-04-01,Abr 2020,Norte,Amazonas,Outros,Outras,3
2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.28,29
2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.33,6
2020-04-01,Abr 2020,Norte,Pará,Outros,Outras,2
2020-04-01,Abr 2020,Norte,Roraima,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Norte,Roraima,Outros,Outras,1
2020-04-01,Abr 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,2
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,5
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,20
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,Outras,5
