UF,Casos,Estado,Genomas sequenciados,casos_dividido_por_100k,Genomas/100 mil casos
AC,163637,Acre,1414,1.63637,864.1
AL,340045,Alagoas,2848,3.40045,837.5
AM,636816,Amazonas,11007,6.36816,1728.4
AP,186128,Amapá,1021,1.86128,548.5
BA,1824986,Bahia,9730,18.24986,533.2
CE,1489332,Ceará,10366,14.89332,696.0
DF,908820,Distrito Federal,2654,9.0882,292.0
ES,1347290,Espírito Santo,3893,13.4729,289.0
GO,1937169,Goiás,8244,19.37169,425.6
MA,495990,Maranhão,1274,4.9599,256.9
MG,4209719,Minas Gerais,8771,42.09719,208.4
MS,613588,Mato Grosso do Sul,2782,6.13588,453.4
MT,885364,Mato Grosso,1209,8.85364,136.6
PA,881780,Pará,3002,8.8178,340.4
PB,711405,Paraíba,3338,7.11405,469.2
PE,1183371,Pernambuco,8345,11.83371,705.2
PI,431874,Piauí,602,4.31874,139.4
PR,2956571,Paraná,12660,29.56571,428.2
RJ,2810262,Rio de Janeiro,25234,28.10262,897.9
RN,590211,Rio Grande do Norte,2373,5.90211,402.1
RO,486178,Rondônia,1748,4.86178,359.5
RR,189856,Roraima,643,1.89856,338.7
RS,3044735,Rio Grande do Sul,7575,30.44735,248.8
SC,2024575,Santa Catarina,10169,20.24575,502.3
SE,362651,Sergipe,858,3.62651,236.6
SP,6623285,São Paulo,86109,66.23285,1300.1
TO,370750,Tocantins,2429,3.7075,655.2
