UF,Casos,Estado,Genomas secuenciados,casos_dividido_por_100k,Genomas/100 mil casos
AC,168012,Acre,1544,1.68012,919.0
AL,346054,Alagoas,3174,3.46054,917.2
AM,640573,Amazonas,11787,6.40573,1840.1
AP,190884,Amapá,1105,1.90884,578.9
BA,1849663,Bahia,10311,18.49663,557.5
CE,1518709,Ceará,11212,15.18709,738.3
DF,928241,Distrito Federal,3342,9.28241,360.0
ES,1372706,Espírito Santo,4543,13.72706,331.0
GO,1989683,Goiás,9064,19.89683,455.5
MA,500228,Maranhão,1407,5.00228,281.3
MG,4245204,Minas Gerais,9855,42.45204,232.1
MS,624765,Mato Grosso do Sul,3199,6.24765,512.0
MT,894421,Mato Grosso,1365,8.94421,152.6
PA,893588,Pará,3305,8.93588,369.9
PB,723337,Paraíba,3664,7.23337,506.5
PE,1225100,Pernambuco,8556,12.251,698.4
PI,436218,Piauí,644,4.36218,147.6
PR,2998410,Paraná,13081,29.9841,436.3
RJ,2900602,Rio de Janeiro,26662,29.00602,919.2
RN,599361,Rio Grande do Norte,2490,5.99361,415.4
RO,494826,Rondônia,1834,4.94826,370.6
RR,191022,Roraima,678,1.91022,354.9
RS,3095548,Rio Grande do Sul,9644,30.95548,311.5
SC,2060297,Santa Catarina,10820,20.60297,525.2
SE,367355,Sergipe,938,3.67355,255.3
SP,6775190,São Paulo,89369,67.7519,1319.1
TO,375220,Tocantins,2628,3.7522,700.4
