UF,Casos,Estado,Genomas sequenciados,casos_dividido_por_100k,Genomas/100 mil casos
AC,165016,Acre,1451,1.65016,879.3
AL,341619,Alagoas,3007,3.41619,880.2
AM,638551,Amazonas,11763,6.38551,1842.1
AP,186394,Amapá,1097,1.86394,588.5
BA,1841822,Bahia,10140,18.41822,550.5
CE,1492625,Ceará,10792,14.92625,723.0
DF,926555,Distrito Federal,3255,9.26555,351.3
ES,1368917,Espírito Santo,4410,13.68917,322.2
GO,1982891,Goiás,8680,19.82891,437.7
MA,497867,Maranhão,1361,4.97867,273.4
MG,4233102,Minas Gerais,9707,42.33102,229.3
MS,621552,Mato Grosso do Sul,3084,6.21552,496.2
MT,887528,Mato Grosso,1341,8.87528,151.1
PA,885871,Pará,3225,8.85871,364.0
PB,713860,Paraíba,3514,7.1386,492.3
PE,1201073,Pernambuco,8461,12.01073,704.5
PI,433695,Piauí,602,4.33695,138.8
PR,2991736,Paraná,12938,29.91736,432.5
RJ,2886755,Rio de Janeiro,26204,28.86755,907.7
RN,593828,Rio Grande do Norte,2417,5.93828,407.0
RO,489389,Rondônia,1820,4.89389,371.9
RR,190510,Roraima,678,1.9051,355.9
RS,3083803,Rio Grande do Sul,8987,30.83803,291.4
SC,2053311,Santa Catarina,10737,20.53311,522.9
SE,363822,Sergipe,924,3.63822,254.0
SP,6753216,São Paulo,88949,67.53216,1317.1
TO,372431,Tocantins,2596,3.72431,697.0
