UF,Casos,Estado,Genomas sequenciados,casos_dividido_por_100k,Genomas/100 mil casos
AC,163959,Acre,1418,1.63959,864.9
AL,340869,Alagoas,2911,3.40869,854.0
AM,637387,Amazonas,11033,6.37387,1731.0
AP,186293,Amapá,1025,1.86293,550.2
BA,1827753,Bahia,9893,18.27753,541.3
CE,1489103,Ceará,10367,14.89103,696.2
DF,911374,Distrito Federal,2699,9.11374,296.1
ES,1348733,Espírito Santo,4032,13.48733,298.9
GO,1949768,Goiás,8278,19.49768,424.6
MA,497081,Maranhão,1290,4.97081,259.5
MG,4209719,Minas Gerais,9155,42.09719,217.5
MS,615732,Mato Grosso do Sul,2935,6.15732,476.7
MT,886696,Mato Grosso,1289,8.86696,145.4
PA,884316,Pará,3144,8.84316,355.5
PB,712821,Paraíba,3401,7.12821,477.1
PE,1192212,Pernambuco,8419,11.92212,706.2
PI,433686,Piauí,602,4.33686,138.8
PR,2962928,Paraná,12798,29.62928,431.9
RJ,2824145,Rio de Janeiro,25320,28.24145,896.6
RN,592213,Rio Grande do Norte,2416,5.92213,408.0
RO,487968,Rondônia,1811,4.87968,371.1
RR,190083,Roraima,654,1.90083,344.1
RS,3052193,Rio Grande do Sul,8065,30.52193,264.2
SC,2029287,Santa Catarina,10249,20.29287,505.1
SE,363126,Sergipe,902,3.63126,248.4
SP,6656402,São Paulo,86766,66.56402,1303.5
TO,371606,Tocantins,2497,3.71606,671.9
