Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Quantidade
2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Centro-oeste,Distrito Federal,Outros,P.2,Outras,2
2020-11-01,Nov 2020,Centro-oeste,Goiás,Outros,P.2,Outras,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.378,Outras,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,Outras,11
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Outras,7
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Outras,2
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.240,Outras,1
2020-11-01,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,Outras,2
2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.372,Outras,1
2020-11-01,Nov 2020,Nordeste,Alagoas,FIOCRUZ,P.2,Outras,1
2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Alagoas,Outros,P.2,Outras,3
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1,Outras,1
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,Outras,105
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,Outras,14
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,N.9,Outras,9
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,P.2,Outras,3
2020-11-01,Nov 2020,Nordeste,Bahia,FIOCRUZ,P.7,Outras,2
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1,Outras,3
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1,Outras,1
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.28,Outras,7
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,B.1.1.33,Outras,3
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,N.3,Outras,1
2020-11-01,Nov 2020,Nordeste,Bahia,Outros,N.9,Outras,3
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.28,Outras,3
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Outras,7
2020-11-01,Nov 2020,Nordeste,Ceará,FIOCRUZ,P.2,Outras,2
2020-11-01,Nov 2020,Nordeste,Ceará,Outros,B.1,Outras,2
2020-11-01,Nov 2020,Nordeste,Ceará,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Ceará,Outros,B.1.1.33,Outras,7
2020-11-01,Nov 2020,Nordeste,Maranhão,FIOCRUZ,N.9,Outras,4
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1,Outras,1
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Maranhão,Outros,N.9,Outras,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,Outras,9
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,Outras,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.2,Outras,3
2020-11-01,Nov 2020,Nordeste,Paraíba,FIOCRUZ,P.7,Outras,2
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1,Outras,5
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.28,Outras,2
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,B.1.1.462,Outras,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,N.9,Outras,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.2,Outras,1
2020-11-01,Nov 2020,Nordeste,Paraíba,Outros,P.7,Outras,2
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,Outras,8
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,Outras,66
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,Outras,50
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.201,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.212,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,N.9,Outras,6
2020-11-01,Nov 2020,Nordeste,Pernambuco,FIOCRUZ,P.2,Outras,4
2020-11-01,Nov 2020,Nordeste,Pernambuco,Outros,B.1.1,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,Outros,B.1.1.33,Outras,1
2020-11-01,Nov 2020,Nordeste,Pernambuco,Outros,P.2,Outras,4
2020-11-01,Nov 2020,Nordeste,Piauí,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Piauí,Outros,B.1.212,Outras,1
2020-11-01,Nov 2020,Nordeste,Piauí,Outros,N.9,Outras,2
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.33,Outras,4
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,N.9,Outras,1
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,Outras,3
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,Outras,2
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,Outras,2
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,N.9,Outras,2
2020-11-01,Nov 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,5
2020-11-01,Nov 2020,Norte,Acre,FIOCRUZ,B.1.1.28,Outras,104
2020-11-01,Nov 2020,Norte,Acre,FIOCRUZ,B.1.1.33,Outras,41
2020-11-01,Nov 2020,Norte,Acre,FIOCRUZ,B.1.1.378,Outras,1
2020-11-01,Nov 2020,Norte,Acre,FIOCRUZ,P.2,Outras,1
2020-11-01,Nov 2020,Norte,Amapá,Outros,P.2,Outras,5
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,13
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,2
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,12
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,1
2020-11-01,Nov 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,2
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1,Outras,3
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,16
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,1
2020-11-01,Nov 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,6
2020-11-01,Nov 2020,Norte,Amazonas,Outros,P.2,Outras,1
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1,Outras,3
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.1.28,Outras,2
2020-11-01,Nov 2020,Norte,Pará,Outros,B.1.212,Outras,1
2020-11-01,Nov 2020,Norte,Pará,Outros,P.2,Outras,11
2020-11-01,Nov 2020,Norte,Roraima,Outros,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,7
2020-11-01,Nov 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,2
2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1,Outras,1
2020-11-01,Nov 2020,Sudeste,Espírito Santo,Outros,B.1.1.28,Outras,5
