Data,Período,Região,Estado,Variantes relevantes,Quantidade
2023-01-01,Jan 2023,Centro-oeste,Distrito Federal,Outras,4
2023-01-01,Jan 2023,Centro-oeste,Goiás,Outras,107
2023-01-01,Jan 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),8
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso,Outras,13
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,Outras,86
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Alagoas,Outras,30
2023-01-01,Jan 2023,Nordeste,Bahia,Outras,50
2023-01-01,Jan 2023,Nordeste,Bahia,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,Nordeste,Ceará,Outras,41
2023-01-01,Jan 2023,Nordeste,Maranhão,Outras,8
2023-01-01,Jan 2023,Nordeste,Maranhão,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Paraíba,Outras,5
2023-01-01,Jan 2023,Nordeste,Pernambuco,Outras,23
2023-01-01,Jan 2023,Nordeste,Rio Grande do Norte,Outras,4
2023-01-01,Jan 2023,Norte,Acre,Outras,1
2023-01-01,Jan 2023,Norte,Amapá,Outras,31
2023-01-01,Jan 2023,Norte,Amazonas,Outras,59
2023-01-01,Jan 2023,Norte,Amazonas,XBB.1.5.* (Omicron),41
2023-01-01,Jan 2023,Norte,Pará,Outras,21
2023-01-01,Jan 2023,Norte,Pará,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Norte,Rondônia,Outras,17
2023-01-01,Jan 2023,Norte,Tocantins,Outras,99
2023-01-01,Jan 2023,Norte,Tocantins,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Sudeste,Espírito Santo,Outras,96
2023-01-01,Jan 2023,Sudeste,Espírito Santo,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Sudeste,Minas Gerais,Outras,222
2023-01-01,Jan 2023,Sudeste,Minas Gerais,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Sudeste,Rio de Janeiro,Outras,105
2023-01-01,Jan 2023,Sudeste,Rio de Janeiro,XBB.1.5.* (Omicron),10
2023-01-01,Jan 2023,Sudeste,São Paulo,FE.1.* (Omicron),8
2023-01-01,Jan 2023,Sudeste,São Paulo,Outras,606
2023-01-01,Jan 2023,Sudeste,São Paulo,XBB.1.5.* (Omicron),46
2023-01-01,Jan 2023,Sul,Paraná,Outras,8
2023-01-01,Jan 2023,Sul,Paraná,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,Sul,Rio Grande do Sul,FE.1.* (Omicron),1
2023-01-01,Jan 2023,Sul,Rio Grande do Sul,Outras,193
2023-01-01,Jan 2023,Sul,Rio Grande do Sul,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,Sul,Santa Catarina,Outras,177
2023-01-01,Jan 2023,Sul,Santa Catarina,XBB.1.5.* (Omicron),17
2023-02-01,Fev 2023,Centro-oeste,Distrito Federal,Outras,23
2023-02-01,Fev 2023,Centro-oeste,Distrito Federal,XBB.1.5.* (Omicron),7
2023-02-01,Fev 2023,Centro-oeste,Goiás,Outras,31
2023-02-01,Fev 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),16
2023-02-01,Fev 2023,Centro-oeste,Mato Grosso,Outras,3
2023-02-01,Fev 2023,Centro-oeste,Mato Grosso,XBB.1.5.* (Omicron),3
2023-02-01,Fev 2023,Centro-oeste,Mato Grosso do Sul,FE.1.* (Omicron),3
2023-02-01,Fev 2023,Centro-oeste,Mato Grosso do Sul,Outras,56
2023-02-01,Fev 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),7
2023-02-01,Fev 2023,Nordeste,Alagoas,Outras,6
2023-02-01,Fev 2023,Nordeste,Alagoas,XBB.1.5.* (Omicron),4
2023-02-01,Fev 2023,Nordeste,Bahia,FE.1.* (Omicron),12
2023-02-01,Fev 2023,Nordeste,Bahia,Outras,18
2023-02-01,Fev 2023,Nordeste,Bahia,XBB.1.5.* (Omicron),20
2023-02-01,Fev 2023,Nordeste,Ceará,Outras,32
2023-02-01,Fev 2023,Nordeste,Ceará,XBB.1.5.* (Omicron),2
2023-02-01,Fev 2023,Nordeste,Maranhão,Outras,9
2023-02-01,Fev 2023,Nordeste,Maranhão,XBB.1.5.* (Omicron),1
2023-02-01,Fev 2023,Nordeste,Paraíba,Outras,1
2023-02-01,Fev 2023,Nordeste,Paraíba,XBB.1.5.* (Omicron),1
2023-02-01,Fev 2023,Nordeste,Pernambuco,Outras,7
2023-02-01,Fev 2023,Nordeste,Pernambuco,XBB.1.5.* (Omicron),4
