Data,Período,Região,Estado,Variantes relevantes,Quantidade
2023-01-01,Jan 2023,Centro-oeste,Distrito Federal,Outras,4
2023-01-01,Jan 2023,Centro-oeste,Goiás,Outras,91
2023-01-01,Jan 2023,Centro-oeste,Goiás,XBB.* (Omicron),5
2023-01-01,Jan 2023,Centro-oeste,Goiás,XBB.1.18.* (Omicron),11
2023-01-01,Jan 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),8
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso,Outras,10
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso,XBB.1.18.* (Omicron),3
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,Outras,80
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,XBB.* (Omicron),1
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.18.* (Omicron),5
2023-01-01,Jan 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Alagoas,Outras,18
2023-01-01,Jan 2023,Nordeste,Alagoas,XBB.* (Omicron),10
2023-01-01,Jan 2023,Nordeste,Alagoas,XBB.1.18.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Bahia,Outras,45
2023-01-01,Jan 2023,Nordeste,Bahia,XBB.* (Omicron),3
2023-01-01,Jan 2023,Nordeste,Bahia,XBB.1.18.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Bahia,XBB.1.5.* (Omicron),1
2023-01-01,Jan 2023,Nordeste,Ceará,Outras,38
2023-01-01,Jan 2023,Nordeste,Ceará,XBB.1.18.* (Omicron),3
2023-01-01,Jan 2023,Nordeste,Maranhão,Outras,4
2023-01-01,Jan 2023,Nordeste,Maranhão,XBB.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Maranhão,XBB.1.18.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Maranhão,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Paraíba,Outras,5
2023-01-01,Jan 2023,Nordeste,Pernambuco,Outras,21
2023-01-01,Jan 2023,Nordeste,Pernambuco,XBB.* (Omicron),2
2023-01-01,Jan 2023,Nordeste,Rio Grande do Norte,Outras,4
2023-01-01,Jan 2023,Norte,Acre,Outras,1
2023-01-01,Jan 2023,Norte,Amapá,Outras,8
2023-01-01,Jan 2023,Norte,Amapá,XBB.* (Omicron),2
2023-01-01,Jan 2023,Norte,Amapá,XBB.1.18.* (Omicron),21
2023-01-01,Jan 2023,Norte,Amazonas,Outras,52
2023-01-01,Jan 2023,Norte,Amazonas,XBB.* (Omicron),6
2023-01-01,Jan 2023,Norte,Amazonas,XBB.1.18.* (Omicron),1
2023-01-01,Jan 2023,Norte,Amazonas,XBB.1.5.* (Omicron),9
2023-01-01,Jan 2023,Norte,Pará,Outras,9
2023-01-01,Jan 2023,Norte,Pará,XBB.* (Omicron),2
2023-01-01,Jan 2023,Norte,Pará,XBB.1.18.* (Omicron),10
2023-01-01,Jan 2023,Norte,Pará,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Norte,Rondônia,Outras,14
2023-01-01,Jan 2023,Norte,Rondônia,XBB.* (Omicron),2
2023-01-01,Jan 2023,Norte,Rondônia,XBB.1.18.* (Omicron),1
2023-01-01,Jan 2023,Norte,Tocantins,Outras,87
2023-01-01,Jan 2023,Norte,Tocantins,XBB.* (Omicron),1
2023-01-01,Jan 2023,Norte,Tocantins,XBB.1.18.* (Omicron),11
2023-01-01,Jan 2023,Norte,Tocantins,XBB.1.5.* (Omicron),3
2023-01-01,Jan 2023,Sudeste,Espírito Santo,Outras,91
2023-01-01,Jan 2023,Sudeste,Espírito Santo,XBB.* (Omicron),2
2023-01-01,Jan 2023,Sudeste,Espírito Santo,XBB.1.18.* (Omicron),2
2023-01-01,Jan 2023,Sudeste,Espírito Santo,XBB.1.5.* (Omicron),2
2023-01-01,Jan 2023,Sudeste,Minas Gerais,Outras,213
