Virus.name	UF	Collection.date	Lineage	pangoLEARN_release	SeqN	DataSeq
hCoV-19/Brazil/RJ-FIOCRUZ-31866/2020	RJ	2020-12-21	P.2	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/RJ-FIOCRUZ-8488/2021	RJ	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_059 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-8496/2021	RJ	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_059 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/RJ-FIOCRUZ-8499/2021	RJ	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_059 / MiSeq_LVRS_069	NA
hCoV-19/Brazil/SC-FIOCRUZ-7176/2021	SC	2021-02-08	P.1	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/AL-FIOCRUZ-11150/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11151/2021	AL	2021-02-13	B.1.1.33	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11152/2021	AL	2021-02-12	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11154/2021	AL	2021-02-14	B.1.1.33	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11155/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11156/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11157/2021	AL	2021-02-14	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11158/2021	AL	2021-02-14	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11159/2021	AL	2021-02-14	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11160/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11161/2021	AL	2021-02-13	B.1.1.371	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11162/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_062	NA
